Player	No.(s)	Height in Ft.	Position	Years for Rockets	School/Club Team/Country
Sampson, Ralph Ralph Sampson	50	7-4	Forward / Center	1983-88	Virginia
Scola, Luis Luis Scola	4	6-9	Forward	2007-2012	Argentina
Short, Purvis Purvis Short	10	6-7	Forward / Guard	1987-89	Jackson State
Shumate, John John Shumate	34	6-9	Forward	1979-80	Notre Dame
Siegfried, Larry Larry Siegfried	20	6-3	Guard	1970-71	Ohio State
Smith, Bobby Bobby Smith	32	6-5	Forward	1969-70	Tulsa
Smith, Greg Greg Smith	4	6-5	Forward	1971-72	Western Kentucky
Smith, Kenny Kenny Smith	30	6-3	Guard	1990-96	North Carolina
Smith, Larry Larry Smith	13	6-8	Forward / Center	1989-92	Alcorn State
Snyder, Kirk Kirk Snyder	13	6-6	Guard	2006-08	Nevada-Reno
Spanoulis, Vassilis Vassilis Spanoulis	10	6-4	Guard	2006-07	Greece
Spriggs, Larry Larry Spriggs	35	6-7	Forward	1981	Howard
Stephens, Joe Joe Stephens	41	6-7	Forward	1997	Arkansas-Little Rock
Strickland, Rod Rod Strickland	31	6-3	Guard	2004-05	DePaul
Stroud, John John Stroud	42	6-7	Forward	1980-81	Mississippi
Sura, Bob Bob Sura	3	6-5	Guard	2004-07	Florida State
