Date	Opponent	Venue	Result	Attendance	Competition
1	Peterborough Phantoms	Home	Won 6-1	1,421	League
2	Peterborough Phantoms	Away	Won 3-2 (SO)	443	League
8	Swindon Wildcats	Away	Won 3-2	790	Knockout Cup
9	Chelmsford Chieftains	Away	Won 5-3	423	League
15	Sheffield Scimitars	Away	Won 5-3	351	League
16	Swindon Wildcats	Home	Won 3-1	1,244	Knockout Cup
22	Romford Raiders	Home	Won 5-2	1,551	Knockout Cup
23	Romford Raiders	Away	Lost 2-6	Unknown	League
26	Milton Keynes Lightning	Home	Won 4-3	1,228	Premier Cup
29	Chelmsford Chieftains	Home	Won 5-0	1,117	League
30	Slough Jets	Home	Won 4-3	1,921	League
