Wind Farm	Scheduled	Capacity (MW)	Turbines	Type	Location
Codling	Unknown	1100	220	Unknown	County Wicklow
Carrowleagh	2012	36.8	16	ENERCON E-70 2.3	County Cork
Dublin Array	2015	364	145	unknown	County Dublin
Glenmore	2009 Summer	30	10	VESTAS V90	County Clare
Glenough	2010 Winter	32.5	13	NORDEX N80/N90	County Tipperary
Gortahile	2010 Autumn	20	8	NORDEX N90	County Laois
Grouse Lodge	2011 Summer	20	8	NORDEX N90	County Tipperary
Moneypoint	Unknown	22.5	9	Unknown	County Clare
Mount Callan	Unknown	90	30	3MW	County Clare
Oriel	2013	330	55	Unknown	County Louth
Skerd Rocks	Unknown	100	20	5MW	County Galway
Shragh	planning submitted Oct 2011	135	45	ENERCON E82 3.0 MW	County Clare
Garracummer	2012	42.5	17	NORDEX N90 2.5MW	County Tipperary
Knockacummer	2013	87.5	35	NORDEX N90 2.5MW	County Cork
Monaincha	2013	36	15	NORDEX N117 2.4MW	County Tipperary
Gibbet Hill	2013	15	6	NORDEX N90 2.5MW	County Wexford
Glenough Extension	2013	2.5	1	NORDEX N90 2.5MW	County Tipperary
