Game	Date	Opponent	Result	Oilers points	Opponents	Oilers first downs	Record	Attendance
1	Sept. 3	at Atlanta Falcons	Loss	14	20	13	0–1	57,328
2	Sept. 10	at Kansas City Chiefs	Win	20	17	15	1–1	40,213
3	Sept. 17	San Francisco 49ers	Win	20	19	23	2–1	46,161
4	Sept. 24	Los Angeles Rams	Loss	6	10	10	2–2	45,749
5	Oct. 1	at Cleveland Browns	Win	16	13	20	3–2	72,776
6	Oct. 8	at Oakland Raiders	Loss	17	21	20	3–3	52,550
7	Oct. 15	Buffalo Bills	Win	17	10	17	4–3	47,727
8	Oct. 23	at Pittsburgh Steelers	Win	24	17	22	5–3	48,021
9	Oct. 29	at Cincinnati Bengals	Loss	13	28	15	5–4	50,532
10	Nov. 5	Cleveland Browns	Win	14	10	18	6–4	45,827
11	Nov. 12	at New England Patriots	Win	26	23	24	7–4	60,356
12	Nov. 20	Miami Dolphins	Win	35	30	23	8–4	50,290
13	Nov. 26	Cincinnati Bengals	Win	17	10	17	9–4	43,245
14	Dec. 3	Pittsburgh Steelers	Loss	3	13	9	9–5	54,261
15	Dec. 10	at New Orleans Saints	Win	17	12	16	10–5	63,169
16	Dec. 17	San Diego Chargers	Loss	24	45	14	10–6	49,554
