Nationality	Matches	Drawn	Lost	Win %
England	145	37	39	47.6
England	43	6	18	44.2
England	133	33	45	41.4
England	38	8	13	44.7
Scotland	80	23	40	21.3
England	132	28	60	33.3
England	177	32	89	31.6
England	132	22	57	40.2
England	182	43	78	33.5
England	510	99	204	40.6
England	116	26	52	32.8
England	125	24	74	21.6
England	34	6	23	14.7
England	44	10	25	20.5
Wales	63	17	26	31.7
England	8	1	4	37.5
England	84	13	36	41.7
Wales	139	40	54	32.4
England	31	9	17	16.1
England	155	38	69	31.0
England	101	25	43	32.7
England	307	77	135	30.9
Scotland	9	1	5	33.3
England	18	5	12	5.6
England	94	21	43	31.9
England	94	27	35	34.0
Scotland	58	14	30	24.1
England	85	18	27	47.1
England	90	23	31	40.0
England	40	9	22	22.5
Scotland	36	6	23	19.4
Northern Ireland	44	10	24	22.7
England	73	17	37	26.0
England	115	37	45	28.7
England	7	1	4	28.6
England	195	49	64	42.1
England	2	1	0	50.0
England	35	8	11	45.7
Scotland	110	26	36	43.6
England	39	11	18	28.2
England	15	7	5	20.0
Northern Ireland	133	29	46	43.6
England	81	19	39	28.4
England	74	17	31	35.1
England	3	0	2	33.3
Scotland	40	14	19	17.5
England	4	1	3	0.0
Scotland	16	4	7	31.25
England	16	3	6	43.8
