Age band	Median income	Mean income	Median income (men)	Mean income (men)	Median income (women)	Mean income (women)
Under 20	£ 8,130	£ 9,570	£ 8,490	£ 9,810	£ 7,990	£ 9,250
20 – 24	£ 11,800	£ 13,200	£ 12,400	£ 13,800	£ 11,200	£ 12,300
25 – 29	£ 17,000	£ 19,300	£ 17,800	£ 20,600	£ 15,900	£ 17,800
30 – 34	£ 19,500	£ 23,900	£ 21,600	£ 26,700	£ 16,400	£ 20,100
35 – 39	£ 20,100	£ 26,800	£ 23,600	£ 31,700	£ 15,500	£ 20,100
40 – 44	£ 20,200	£ 28,100	£ 24,600	£ 34,600	£ 14,900	£ 19,800
45 – 49	£ 20,300	£ 28,600	£ 24,800	£ 35,400	£ 15,200	£ 20,100
50 – 54	£ 19,300	£ 27,000	£ 23,500	£ 33,400	£ 15,100	£ 19,200
55 – 59	£ 17,200	£ 24,500	£ 20,900	£ 29,900	£ 13,100	£ 17,200
60 – 64	£ 13,600	£ 20,000	£ 16,500	£ 24,300	£ 10,700	£ 14,200
65 – 69	£ 12,600	£ 17,900	£ 13,600	£ 19,500	£ 11,100	£ 14,800
70 – 74	£ 13,300	£ 18,100	£ 15,600	£ 21,100	£ 10,700	£ 14,300
