Player	Int'l Debut	Year	Cross Code Debut	Date	Position
Dally Messenger	2nd RU Test Australia v New Zealand	1907	RL New Zealand v Wales	1 Jan 1908	Centre
Frederick Stanley Jackson	RU British Lions tour of Australasia	1908	New Zealand v Great Britain	1910	Back
Emosi Koloto	RU Test Tonga v Wales	12 June 1986	RL New Zealand v ?	1991	Forward
John Schuster	RU Test New Zealand v Australia	3 July 1988	RL Western Samoa v France	5 Sept 1995	Back
Va'aiga Tuigamala	RWC New Zealand v USA	1991	RLWC Western Samoa v France	12 Oct 1995	Back
Henry Paul	RL Test New Zealand v France	1995	RU England v France	2 Mar 2002	Back
Michael Horak	RL South Africa v ?	1997?	RU England v Argentina	22 June 2002	Back
Lote Tuqiri	RLWC Fiji v Russia	2000	1st RU Test Australia v Ireland	7 June 2003	Winger
Coenraad Breytenbach	RLWC South Africa v Tonga	2000	Russia v Georgia	2002	Centre
Brad Thorn	RL Australia v New Zealand	1997	RU New Zealand v Wales	21 June 2003	Forward
Maurie Fa'asavalu	Rugby Union Samoa v South Africa	6 July 2002	RL Test Great Britain v New Zealand	27 Oct 2007	Forward
Lesley Vainikolo	RL ANZAC Test New Zealand v Australia	1999	RU England v Wales	2 Feb 2008	Wing
Craig Gower	SL Test Australia v New Zealand	1997	RU Test Italy v Australia	13 June 2009	Fly-half / five eighth
Shontayne Hape	RL Tri-Nations Test New Zealand v Great Britain	20 Nov 2004	RU Test England v Australia	12 June 2010	Back
Tasesa Lavea	RL ANZAC Test New Zealand v Australia	2000	RU Samoa v Ireland	13 Nov 2010	Back
Cooper Vuna	RL Tonga v ??	2008	RU Australia v Wales	09 Jun 2012	Back
