Nat.	Name	Moving to	Type	Transfer window	Transfer fee
ARG	Pautasso	Olimpia	Released	Summer	Free
ITA	Cirillo	Levante	Released	Summer	Free
BRA	Manduca	Benfica	Loan return	Summer	—
GRE	Kampantais	Arminia Bielefeld	End of contract	Summer	Free
GRE	Tziortziopoulos	Omonia Nicosia	End of contract	Summer	Free
GRE	Kyriakidis	Larissa	Transfer	Summer	€300K
BRA	Emerson	APOEL	End of contract	Summer	Free
GRE	Moras	Bologna	End of contract	Summer	Free
GRE	Chiotis	Kerkyra	End of contract	Summer	Free
GRE	Lakis	P.A.O.K.	Released	Summer	Free
ITA	Sorrentino	Recreativo	Loan	Summer	€340K
GRE	Zorbas	Panachaiki	Loan	Summer	Free
GRE	Komvolidis	Iraklis Thessaloniki	Released	Summer	Free
SRB YUG	Ivić	Aris	Released	Summer	Free
GRE	Gentsoglou	Panachaiki	Loan	Summer	Free
SEN	Diouf	Ilisiakos	Loan	Winter	Free
FIN YUG	Hetemaj	Apollon Kalamaria	Loan	Winter	Free
GRE	Gentsoglou	Nea Ionia	Loan	Winter	Free
