Code	Vehicle	Year	Displacement	Bore	Stroke	C.R.	Max. Power
YD22DD	Nissan Y11 AD Van	2000–2002	2.2L(2184cc)	86.0mm	94.0mm	18:1	77 PS(55kW)@4000 rpm
YD22DDT	Nissan Almera N16	2000–2002	2.2L(2184cc)	86.0mm	94.0mm	18:1	110 PS(81kW)@4000 rpm
YD22DTi	Nissan X-Trail	2001–2007	2.2L(2184cc)	86.0mm	94.0mm	18:1	136 PS(100kW)@4000 rpm
YD22DDTi	Nissan Almera N16 Nissan V10 Almera Tino	2003–2005	2.2L(2184cc)	86.0mm	94.0mm	16.7:1	112 PS(82kW)@4000 rpm 136 PS(100kW)@4000 rpm
YD22DDTi	Nissan Primera P12 Nissan Almera N16	2003–2005	2.2L(2184cc)	86.0mm	94.0mm	16.7:1	139 PS(102kW)@4000 rpm
YD25DDT	Nissan D22 Frontier/Navara	2001–present	2.5L(2488cc)	89.0mm	100.0mm	18:1	109 PS(80kW)@4000 rpm
YD25DDTi	Nissan Navara/Frontier (D22)	2001–present	2.5L(2488cc)	89.0mm	100.0mm	18:1	kW (PS; hp) @4000 rpm
YD25DDTi High Power	Nissan Pathfinder (R51) Nissan Navara (D40)	2005–2009	2.5L(2488cc)	89.0mm	100.0mm	16.5:1	kW (PS; hp) @4000 rpm
YD25DDTi High Power	Nissan Pathfinder (R51) Nissan Navara (D40)	2010–present	2.5L(2488cc)	89.0mm	100.0mm	15:1	kW (PS; hp) @4000 rpm
YD25DDTi Mid Power Commonrail	Nissan Navara (D40)	2005–present	2.5L(2488cc)	89.0mm	100.0mm	16.5:1	kW (PS; hp) @4000 rpm
YD25DDTi NEO Di	Nissan U30 Presage/Bassara	1998–2001	2.5L(2488cc)	89.0mm	100.0mm	17.5:1	150 PS(110kW)@4000 rpm
