Season	Games	Lost	Points	Pct %	Goals for	Goals against	Standing
1994–95	72	42	54	0.375	257	317	6th in Dilio
1995–96	70	36	66	0.471	258	262	4th in Dilio
1996–97	70	29	78	0.557	267	255	3rd in Dilio
1997–98	70	41	53	0.379	263	316	5th in Dilio
1998–99	70	20	96	0.686	298	206	2nd in Dilio
1999–2000	72	20	93	0.611	316	259	2nd in Maritimes
2000–01	72	24	80	0.514	235	253	1st in Maritimes
2001–02	72	21	90	0.604	267	197	2nd in Maritimes
2002–03	72	15	101	0.681	289	206	1st in Maritimes
2003–04	70	43	44	0.293	194	274	4th in Atlantic
2004–05	70	16	96	0.671	242	172	1st in Atlantic
2005–06	70	33	72	0.507	246	258	5th in East
2006–07	70	31	71	0.457	269	287	6th in East
2007–08	70	23	89	0.600	278	241	1st in East
2008–09	68	41	46	0.279	193	290	6th in Atlantic
2009–10	68	48	33	0.191	171	288	6th in Atlantic
2010–11	68	43	45	0.331	186	262	5th in Maritimes Division
2011–12	68	22	85	0.625	250	238	2nd in Maritimes Division
2012–13	68	6	120	0.882	347	176	President's Cup and Memorial Cup Champions
