Entrants	Winner	Prize	Runner-up	Results
352	Nenad Medic	$794,112	Andy Bloch	Results
3,929	Grant Hinkle	$831,462	James Akenhead	Results
713	David Singer	$214,131	Jacobo Fernandez	Results
332	Erick Lindgren	$374,505	Justin Bonomo	Results
766	Michael Banducci	$636,736	Jeff Williams	Results
833	Thang Luu	$243,356	Spencer Lawrence	Results
1,592	Matt Keikoan	$550,601	Shannon Shorr	Results
192	Anthony Rivera	$483,688	James Mackey	Results
1,236	Rep Porter	$372,929	Nathan Templeton	Results
388	Freddy Rouhani	$232,911	Tom Chambers	Results
360	Phil Tom	$477,990	Greg Mueller	Results
880	Jimmy Shultz	$257,105	Zac Fellows	Results
1,397	Duncan Bell	$666,777	Steve Merrifield	Results
158	Eric Brooks	$415,856	Fu Wong	Results
1,190	Svetlana Gromenkova	$244,702	Anh Le	Results
553	Andrew Brown	$226,483	Ted Forrest	Results
1,000	Jason Young	$335,565	Mike Schwartz	Results
85	Mike Matusow	$537,862	Jeff Lisandro	Results
759	Vanessa Selbst	$227,965	Jamie Pickering	Results
480	Daniel Negreanu	$204,874	Ugur Marangoz	Results
731	Scott Seiver	$755,891	Dave Seidman	Results
414	Jens Vortmann	$298,253	Doug Ganger	Results
1,344	Blair Hinkle	$507,563	Mark Brockington	Results
457	Max Pescatori	$246,471	Kyle Kloeckner	Results
256	Kenny Tran	$539,056	Alec Torelli	Results
453	Barry Greenstein	$157,619	Chris Klodnicki	Results
2,706	Vitaly Lunkin	$628,417	Brett Kimes	Results
152	Phil Galfond	$817,781	Adam Hourani	Results
716	John Phan	$434,789	Johnny Neckar	Results
218	Rob Hollink	$496,931	Jerrod Ankenman	Results
1,012	Dario Minieri	$528,418	Seth Fischer	Results
2,304	Luis Velador	$574,734	Anthony Signore	Results
261	Sebastian Ruthenberg	$328,756	Chris Ferguson	Results
320	Layne Flack	$577,725	Daniel Makowsky	Results
381	Michael Rocco	$135,753	Al Barbieri	Results
2,447	Jesper Hougaard	$610,304	Cody Slaubaugh	Results
235	David Benyamine	$535,687	Greg Jamison	Results
605	Davidi Kitai	$244,583	Chris Bell	Results
2,720	David Woo	$631,656	Matt Wood	Results
238	John Phan	$151,896	Shun Uchida	Results
731	Frank Gary	$219,508	Jonathan Tamayo	Results
2,218	Dan Lacourse	$368,832	Dale Eberle	Results
720	Martin Klaser	$216,249	Casey Kastle	Results
879	Max Greenwood	$693,444	Rene Mouritsen	Results
148	Scotty Nguyen	$1,989,120	Michael DeMichele	Results
805	Joe Commisso	$911,855	Richard Lyndaker	Results
544	Ryan Hughes	$183,368	Ron Long	Results
2,317	Alexandre Gomes	$770,540	Marco Johnson	Results
2,718	J.C. Tran	$631,170	Rasmus Nielsen	Results
381	Marty Smyth	$859,549	Peter Jetten	Results
803	James Schaaf	$256,412	Tommy Hang	Results
2,693	David Daneshgar	$625,443	Scott Sitron	Results
823	Matt Graham	$278,180	Jean-Robert Bellande	Results
6,844	Peter Eastgate	$9,119,517	Ivan Demidov	Results
930	Jonathan Kotula	$87,929	Kevin O'Harra	Results
