Place	Player	Country	Score	To par	Money ( $ )
1	Larry Nelson	United States	75-73-65-67=280	–4	72,000
2	Tom Watson	United States	72-70-70-69=281	–3	44,000
3	Gil Morgan	United States	73-72-70-68=283	–1	29,000
T4	Seve Ballesteros	Spain	69-74-69-74=286	+2	17,968
T4	Calvin Peete	United States	75-68-70-73=286	+2	17,968
6	Hal Sutton	United States	73-70-73-71=287	+3	13,254
7	Lanny Wadkins	United States	72-73-74-69=288	+4	12,088
T8	David Graham	Australia	74-75-73-69=291	+7	10,711
T8	Ralph Landrum	United States	75-73-69-74=291	+7	10,711
T10	Chip Beck	United States	73-74-74-71=292	+8	8,976
T10	Andy North	United States	73-71-72-76=292	+8	8,976
T10	Craig Stadler	United States	76-74-73-69=292	+8	8,976
