Date	Visitor	Score	Home	Record
October 28	New York Rangers	1–2	Toronto Maple Leafs	1–0–0
October 29	Toronto Maple Leafs	11–5	Chicago Black Hawks	2–0–0
November 2	Toronto Maple Leafs	4–1	Montreal Canadiens	3–0–0
November 4	Boston Bruins	2–7	Toronto Maple Leafs	4–0–0
November 9	Toronto Maple Leafs	6–3	New York Rangers	5–0–0
November 11	Montreal Canadiens	1–3	Toronto Maple Leafs	6–0–0
November 12	Toronto Maple Leafs	2–4	Detroit Red Wings	6–1–0
November 15	Detroit Red Wings	8–4	Toronto Maple Leafs	6–2–0
November 18	Chicago Black Hawks	4–5	Toronto Maple Leafs	7–2–0
November 19	Toronto Maple Leafs	4–3	Chicago Black Hawks	8–2–0
November 23	Toronto Maple Leafs	1–5	Boston Bruins	8–3–0
November 25	Montreal Canadiens	0–2	Toronto Maple Leafs	9–3–0
November 26	Toronto Maple Leafs	1–4	Montreal Canadiens	9–4–0
December 2	New York Rangers	2–3	Toronto Maple Leafs	10–4–0
December 3	Toronto Maple Leafs	4–5	Boston Bruins	10–5–0
December 9	Boston Bruins	5–3	Toronto Maple Leafs	10–6–0
December 14	Toronto Maple Leafs	2–2	Montreal Canadiens	10–6–1
December 16	Detroit Red Wings	1–1	Toronto Maple Leafs	10–6–2
December 23	Detroit Red Wings	5–4	Toronto Maple Leafs	10–7–2
December 25	Toronto Maple Leafs	4–6	Detroit Red Wings	10–8–2
December 27	Toronto Maple Leafs	8–2	New York Rangers	11–8–2
December 30	Chicago Black Hawks	0–4	Toronto Maple Leafs	12–8–2
January 4	Montreal Canadiens	2–4	Toronto Maple Leafs	13–8–2
January 6	Detroit Red Wings	5–2	Toronto Maple Leafs	13–9–2
January 9	New York Rangers	5–4	Toronto Maple Leafs	13–10–2
January 11	Toronto Maple Leafs	4–7	Montreal Canadiens	13–11–2
January 13	Boston Bruins	1–2	Toronto Maple Leafs	14–11–2
January 14	Toronto Maple Leafs	0–3	Detroit Red Wings	14–12–2
January 16	Toronto Maple Leafs	3–5	Boston Bruins	14–13–2
January 20	Chicago Black Hawks	4–8	Toronto Maple Leafs	15–13–2
January 21	Toronto Maple Leafs	0–4	Chicago Black Hawks	15–14–2
January 27	New York Rangers	0–3	Toronto Maple Leafs	16–14–2
January 28	Toronto Maple Leafs	7–0	New York Rangers	17–14–2
February 3	Boston Bruins	4–2	Toronto Maple Leafs	17–15–2
February 4	Toronto Maple Leafs	4–3	Chicago Black Hawks	18–15–2
February 6	Toronto Maple Leafs	5–1	Boston Bruins	19–15–2
February 10	Chicago Black Hawks	2–1	Toronto Maple Leafs	19–16–2
February 11	Toronto Maple Leafs	1–2	Chicago Black Hawks	19–17–2
February 17	Montreal Canadiens	4–3	Toronto Maple Leafs	19–18–2
February 18	Toronto Maple Leafs	1–6	Detroit Red Wings	19–19–2
February 24	New York Rangers	4–4	Toronto Maple Leafs	19–19–3
February 25	Toronto Maple Leafs	2–5	Montreal Canadiens	19–20–3
February 27	Chicago Black Hawks	3–3	Toronto Maple Leafs	19–20–4
March 3	Montreal Canadiens	2–3	Toronto Maple Leafs	20–20–4
March 4	Toronto Maple Leafs	6–3	New York Rangers	21–20–4
March 6	Toronto Maple Leafs	5–2	Boston Bruins	22–20–4
March 10	Boston Bruins	2–9	Toronto Maple Leafs	23–20–4
March 11	Toronto Maple Leafs	3–2	Detroit Red Wings	24–20–4
March 17	Detroit Red Wings	4–3	Toronto Maple Leafs	24–21–4
March 18	Toronto Maple Leafs	5–6	New York Rangers	24–22–4
