Tournament	Surface	Week	Winner and score	Finalist	Semifinalists
Indian Wells	Hard	March 2	Michael Chang 6–3, 6–4, 7–5	Andrei Chesnokov	Michael Stich Francisco Clavet
Key Biscane	Hard	March 9	Michael Chang 7–5, 7–5	Alberto Mancini	Jim Courier Jakob Hlasek
Monte Carlo	Clay	April 20	Thomas Muster 6–3, 6–1, 6–3	Aaron Krickstein	Goran Prpić Arnaud Boetsch
Hamburg	Clay	May 4	Stefan Edberg 5–7, 6–4, 6–1	Michael Stich	Carlos Costa Boris Becker
Rome	Clay	May 11	Jim Courier 7–6(3), 6–0, 6–4	Carlos Costa	Carl-Uwe Steeb Petr Korda
Toronto	Hard	July 20	Andre Agassi 3–6, 6–2, 6–0	Ivan Lendl	Wally Masur MaliVai Washington
Cincinnati	Hard	August 10	Pete Sampras 6–3, 3–6, 6–3	Ivan Lendl	Michael Chang Stefan Edberg
Stockholm	Carpet (i)	October 26	Goran Ivanišević 7–6(2), 4–6, 7–6(5), 6–2	Guy Forget	Pete Sampras Stefan Edberg
Paris	Carpet (i)	November 2	Boris Becker 7–6(3), 6–3, 3–6, 6–3	Guy Forget	Goran Ivanišević Jakob Hlasek
Frankfurt ( AWC )	Carpet (i)	November 16	Boris Becker 6–4, 6–3, 7–5	Jim Courier	Goran Ivanišević Pete Sampras
