Name	Number	Position	Height	Year	Hometown
Shayra Brown	20	Point Guard	5-9	FR	Brooklyn, New York
Korina Chapman	33	Forward	5-11	FR	Albuquerque, New Mexico
Kristen Doherty	21	Guard/Forward	5-11	FR	Holtsville, New York
Alyssa Fressle	1	Guard	5-10	RSJR	Highlands Ranch, Colorado
Tessah Holt	3	Guard	5-5	RSFR	Fayetteville, Georgia
Stephanie Murphy	32	Forward/Center	6-4	SR	Londonderry, New Hampshire
Tiffany Ruffin	31	Point Guard	5-7	FR	Winnacunnet, New Hampshire
Katie Zenevitch	45	Forward/Center	6-3	FR	Methuen, Massachusetts
Kerri Shields	10	Guard	5-9	SO	Radnor, Pennsylvania
Jaclyn Thoman	11	Guard	5-9	SR	Highlands Ranch, Colorado
Carolyn Swords	30	Center	6-6	SR	Sudbury, Massachusetts
