Game	March	Opponent	Score	Record
63	1	Detroit Red Wings	3 - 2	22-30-11
64	5	Toronto Maple Leafs	4 - 1	22-31-11
65	8	Cleveland Barons	6 - 1	23-31-11
66	12	Washington Capitals	8 - 2	24-31-11
67	15	Philadelphia Flyers	2 - 2	24-31-12
68	18	Boston Bruins	6 - 3	24-32-12
69	19	@ Minnesota North Stars	7 - 7	24-32-13
70	22	@ St. Louis Blues	6 - 1	25-32-13
71	24	@ Washington Capitals	11 - 4	26-32-13
72	25	@ Toronto Maple Leafs	5 - 2	27-32-13
73	27	St. Louis Blues	5 - 2	28-32-13
74	29	New York Islanders	5 - 1	29-32-13
