Stage	Date	Course	Distance	Winner
1	5 May	Madrid – Salamanca	km (mi)	Joseph Huts ( BEL )
2	6 May	Salamanca – Cáceres	km (mi)	Gustaaf Deloor ( BEL )
3	7 May	Cáceres – Sevilla	km (mi)	Vicente Carretero ( ESP )
4	9 May	Sevilla – Málaga	km (mi)	Gustaaf Deloor ( BEL )
5	10 May	Málaga – Granada	km (mi)	Vicente Carretero ( ESP )
6	11 May	Granada – Almería	km (mi)	Gustaaf Deloor ( BEL )
7	13 May	Almería – Alicante	km (mi)	Mariano Cañardo ( ESP )
8	14 May	Alicante – Valencia	km (mi)	Antonio Bertola ( ITA )
9	15 May	Valencia – Tarragona	km (mi)	Salvador Cardona ( ESP )
10	17 May	Tarragona – Barcelona	km (mi)	Vicente Carretero ( ESP )
11	18 May	Barcelona – Zaragoza	km (mi)	Alfons Schepers ( BEL )
12	19 May	Zaragoza – San Sebastián	km (mi)	Alfons Schepers ( BEL )
13	21 May	San Sebastián – Bilbao	km (mi)	Vicente Carretero ( ESP )
14	22 May	Bilbao – Santander	km (mi)	Alfons Deloor ( BEL )
15	24 May	Santander – Gijón	km (mi)	Mariano Cañardo ( ESP )
16	25 May	Gijón – Ribadeo	km (mi)	Rafael Ramos ( ESP )
17	26 May	Ribadeo – La Coruña	km (mi)	Alfons Schepers ( BEL )
18	27 May	La Coruña – Vigo	km (mi)	Vicente Carretero ( ESP )
19	29 May	Vigo – Verín	km (mi)	Fermin Trueba ( ESP )
20	30 May	Verín – Zamora	km (mi)	Antonio Bertola ( ITA )
21	31 May	Zamora – Madrid	km (mi)	Emiliano Álvarez ( ESP )
