Rank (2008)	Federal Subjects	Russian Name	2008 (RUB)	2008 (USD)	2007 (RUB)	2007 (USD)	2005 (RUB)	2005 (USD)
1	Moscow	Москва	8441206	339647	6731189	263134	4135155	146199
2	Tyumen Oblast	Тюменская область	3143607	126489	2785336	108884	2215584	78332
3	Khanty–Mansi	Ханты-Мансийский автономный округ	1937607	77963	1728340	67564	1399336	49474
4	Moscow Oblast	Московская область	1685489	67819	1306077	51057	708062	25034
5	Saint Petersburg	Санкт-Петербург	1420830	57170	1109297	43364	666393	23560
6	Sverdlovsk Oblast	Свердловская область	944408	38000	825036	32252	475576	16814
7	Tatarstan	Татарстан	923206	37147	770730	30129	482759	17068
8	Krasnodar Krai	Краснодарский край	808704	32540	655298	25617	372930	13185
9	Bashkortostan	Башкортостан	749481	30157	601310	23506	381647	13493
10	Krasnoyarsk Krai	Красноярский край	740233	29785	734414	28710	439737	15547
11	Yamalo-Nenets	Ямало-Ненецкий автономный округ	712606	28673	622748	24344	441722	15617
12	Samara Oblast	Самарская область	706514	28428	600368	23469	401812	14206
13	Chelyabinsk Oblast	Челябинская область	664974	26756	582945	22788	349957	12373
14	Perm Krai	Пермский край	609230	24513	480023	18765	327273	11571
15	Nizhny Novgorod Oblast	Нижегородская область	597988	24061	473909	18526	299724	10597
16	Rostov Oblast	Ростовская область	576386	23192	453061	17711	263052	9300
17	Kemerovo Oblast	Кемеровская область	575942	23174	444352	17371	295378	10443
18	Novosibirsk Oblast	Новосибирская область	460087	18512	382186	14940	235382	8322
19	Irkutsk Oblast	Иркутская область	456706	18376	403031	15755	258096	9125
20	Volgograd Oblast	Волгоградская область	431748	17372	333856	13051	203232	7185
21	Orenburg Oblast	Оренбургская область	425045	17102	375073	14662	213138	7536
22	Leningrad Oblast	Ленинградская область	383892	15447	312405	12212	205417	7263
23	Omsk Oblast	Омская область	352938	14201	301803	11798	220686	7802
24	Sakhalin Oblast	Сахалинская область	335878	13515	286049	11182	121014	4278
25	Saratov Oblast	Саратовская область	330564	13301	261683	10230	170931	6043
26	Primorsky Krai	Приморский край	319360	12850	263272	10292	186623	6598
27	Yaroslavl Oblast	Белгородская область	319071	12838	178846	6991	114409	4045
28	Sakha	Якутия	304987	12272	246469	9635	183027	6471
29	Vologda Oblast	Вологодская область	298126	11996	243948	9536	193966	6858
30	Arkhangelsk Oblast	Архангельская область	298112	11995	286862	11214	166433	5884
31	Komi	Республика Коми	295614	11895	242431	9477	171307	6057
32	Khabarovsk Krai	Хабаровский край	289322	11641	228666	8939	133587	4723
33	Altai Krai	Алтайский край	275084	11068	221119	8644	146569	5182
34	Belgorod Oblast	Белгородская область	273213	10993	232640	9094	161194	5699
35	Voronezh Oblast	Воронежская область	268842	10817	223751	8747	135686	4797
36	Tomsk Oblast	Томская область	263172	10589	213774	8357	145194	5133
