Week	Date	Opponent	Result	Attendance
1	September 12, 2004	at Chicago Bears	W 20-16	61,535
2	September 19, 2004	Houston Texans	W 28-16	61,465
3	September 26, 2004	Philadelphia Eagles	L 30-13	62,472
4	Bye	Bye	Bye	Bye
5	October 10, 2004	at Atlanta Falcons	W 17-10	70,434
6	October 17, 2004	Green Bay Packers	L 38-10	62,938
7	October 24, 2004	at New York Giants	W 28-13	78,841
8	October 31, 2004	at Dallas Cowboys	L 31-21	63,616
9	November 7, 2004	Washington Redskins	L 17-10	62,657
10	November 14, 2004	at Jacksonville Jaguars	L 23-17 OT	66,431
11	November 21, 2004	at Minnesota Vikings	L 22-19	64,156
12	November 25, 2004	Indianapolis Colts	L 41-9	63,107
13	December 5, 2004	Arizona Cardinals	W 26-12	62,262
14	December 12, 2004	at Green Bay Packers	L 16-13	70,497
15	December 19, 2004	Minnesota Vikings	L 28-27	62,337
16	December 26, 2004	Chicago Bears	W 19-13	61,924
17	January 2, 2005	at Tennessee Titans	L 24-19	68,809
