Place	Player	Country	Score	To par
1	Ben Crenshaw	United States	67	–3
T2	Seve Ballesteros	Spain	68	–2
T2	Raymond Floyd	United States	68	–2
T2	Tsuneyuki Nakajima	Japan	68	–2
T5	Bernhard Langer	West Germany	69	–1
T5	Nick Price	Zimbabwe	69	–1
T5	Denis Watson	Zimbabwe	69	–1
T8	Jay Don Blake	United States	70	E
T8	Lennie Clements	United States	70	E
T8	John Cook	United States	70	E
T8	Dale Douglass	United States	70	E
T8	David Frost	South Africa	70	E
T8	Sandy Lyle	Scotland	70	E
T8	Jack Nicklaus	United States	70	E
T8	Jim Thorpe	United States	70	E
T8	Bob Tway	United States	70	E
T8	Mark Wiebe	United States	70	E
