Date	Country	Name	Award	Notes
13 Aug 2007	ENG	G. S. Roberts	Team of the Week	Source
20 Aug 2007	ENG	Woodards	Team of the Week	Source
10 Sep 2007	GER	Bopp	Team of the Week	Source
24 Sep 2007	ENG	Williams	Team of the Week	Source
1 Oct 2007	ENG	Jones	Team of the Week	Source
22 Oct 2007	ENG	Lowe	Team of the Week	Source
5 Nov 2007	ENG	Moore	Team of the Week	Source
19 Nov 2007	ENG	Woodards	Team of the Week (2)	Source
10 Dec 2007	ENG	Woodards	Team of the Week (3)	Source
28 Jan 2008	ENG	Williams	Team of the Week (2)	Source
3 Mar 2008	ENG	Williams	Team of the Week (3)	Source
17 Mar 2008	ENG	O'Connor	Team of the Week	Source
