Date	Location	Nature of incident	Circumstances	Casualties
2008-03-27	Kunduz area	Hostile	IED	3 WIA
2008-06-30	Kunduz province	Hostile	IED	3 WIA
2008-07-06	Kunduz province	Hostile	Suicide bomber attack	3 WIA
2008-08-06	Kunduz province	Hostile	Suicide bomber attack	1 KIA, 2 WIA
2008-08-15	Fayzabad province	Hostile	IED	2 WIA
2008-08-25	Termez, ISAF-base in Uzbekistan	Non-hostile	Natural cause	1 dead
2008-08-27	Kunduz Province	Hostile	IED	1 KIA, 3 WIA
2008-09-23	Kunduz	Hostile	Suicide bomber attack	1 WIA
2008-10-20	Kunduz	Hostile	Suicide bomber attack	2 KIA, 2 WIA
2008-11-15	Baghlan	Hostile	IED	2 WIA
2008-11-17	Faizabad	Hostile	IED	4 WIA
2008-12-15	Kunduz	Hostile	Direct fire	3 WIA
2008-12-24	Kunduz	Hostile	Direct fire	5 WIA
