Pos.	Mark	Athlete	Venue	Date
1.	2.43m(7ft11½in)	Javier Sotomayor ( CUB )	Budapest	4 March 1989
2.	2.42m(7ft11¼in)	Carlo Thränhardt ( FRG )	Berlin	26 February 1988
3.	2.41m(7ft10¾in)	Patrik Sjöberg ( SWE )	Piraeus	1 February 1987
4.	2.40m(7ft10¼in)	Hollis Conway ( USA )	Seville	10 March 1991
4.	2.40m(7ft10¼in)	Stefan Holm ( SWE )	Madrid	6 March 2005
4.	2.40m(7ft10¼in)	Ivan Ukhov ( RUS )	Athens	25 February 2009
7.	2.39m(7ft10in)	Dietmar Mögenburg ( FRG )	Cologne	24 February 1985
7.	2.39m(7ft10in)	Ralf Sonn ( GER )	Berlin	1 March 1991
9.	2.38m(7ft9½in)	Igor Paklin ( USSR )	Indianapolis	7 March 1987
9.	2.38m(7ft9½in)	Hennadiy Avdyeyenko ( USSR )	Indianapolis	7 March 1987
9.	2.38m(7ft9½in)	Steve Smith ( GBR )	Wuppertal	4 February 1994
9.	2.38m(7ft9½in)	Wolf-Hendrik Beyer ( GER )	Weinheim	18 March 1994
9.	2.38m(7ft9½in)	Sorin Matei ( ROM )	Wuppertal	3 February 1995
9.	2.38m(7ft9½in)	Matt Hemingway ( USA )	Atlanta	4 March 2000
9.	2.38m(7ft9½in)	Yaroslav Rybakov ( RUS )	Stockholm	15 February 2005
9.	2.38m(7ft9½in)	Linus Thörnblad ( SWE )	Gothenburg	25 February 2007
