Week	Date	Opponent	Result	Attendance
1	September 1, 1991	at Indianapolis Colts	W 16–7	49,961
2	September 8, 1991	Cleveland Browns	L 20–0	35,377
3	September 15, 1991	at Pittsburgh Steelers	L 20–6	53,703
4	September 22, 1991	Houston Oilers	W 24–20	30,702
5	September 29, 1991	at Phoenix Cardinals	L 24–10	26,043
6	October 6, 1991	Miami Dolphins	L 20–10	49,749
7	Bye	Bye	Bye	Bye
8	October 20, 1991	Minnesota Vikings	W 26–23	45,367
9	October 27, 1991	Denver Broncos	L 9–6	43,994
10	November 3, 1991	at Buffalo Bills	L 22–17	78,278
11	November 10, 1991	at Miami Dolphins	L 30–20	56,065
12	November 17, 1991	New York Jets	L 28–21	30,743
13	November 24, 1991	Buffalo Bills	W 16–13	47,053
14	December 1, 1991	at Denver Broncos	L 20–3	67,116
15	December 8, 1991	Indianapolis Colts	W 23–17	20,131
16	December 15, 1991	at New York Jets	W 6–3	55,689
17	December 22, 1991	at Cincinnati Bengals	L 29–7	46,394
