Tie no	Home team	Score	Away team	Attendance
1	Enfield	2–2	York City	14 November 1998
Replay	York City	2–1	Enfield	24 November 1998
2	Darlington	3–2	Burnley	17 November 1998
3	Bedlington Terriers	4–1	Colchester United	14 November 1998
4	Preston North End	3–0	Ford United	14 November 1998
5	Yeovil Town	2–2	West Auckland Town	14 November 1998
Replay	West Auckland Town	1–1	Yeovil Town	24 November 1998
Yeovil Town won 5–3 on penalties	Yeovil Town won 5–3 on penalties	Yeovil Town won 5–3 on penalties	Yeovil Town won 5–3 on penalties	Yeovil Town won 5–3 on penalties
6	Reading	0–1	Stoke City	14 November 1998
7	Walsall	1–0	Gresley Rovers	14 November 1998
8	Woking	0–1	Scunthorpe United	14 November 1998
9	Boreham Wood	2–3	Luton Town	15 November 1998
10	Macclesfield Town	2–2	Slough Town	14 November 1998
Replay	Slough Town	1–1	Macclesfield Town	24 November 1998
Macclesfield Town won 9–8 on penalties	Macclesfield Town won 9–8 on penalties	Macclesfield Town won 9–8 on penalties	Macclesfield Town won 9–8 on penalties	Macclesfield Town won 9–8 on penalties
11	Scarborough	1–1	Rochdale	14 November 1998
Replay	Rochdale	2–0	Scarborough	24 November 1998
12	Wrexham	1–0	Peterborough United	14 November 1998
13	Hednesford Town	3–1	Barnet	14 November 1998
14	Wycombe Wanderers	1–0	Chesterfield	14 November 1998
15	Manchester City	3–0	Halifax Town	13 November 1998
16	Fulham	1–1	Leigh RMI	15 November 1998
Replay	Leigh RMI	0–2	Fulham	24 November 1998
17	Brentford	5–0	Camberley Town	14 November 1998
18	Bristol Rovers	3–0	Welling United	14 November 1998
19	Northampton Town	2–1	Lancaster City	14 November 1998
20	Plymouth Argyle	0–0	Kidderminster Harriers	14 November 1998
Replay	Kidderminster Harriers	0–0	Plymouth Argyle	1 December 1998
Plymouth Argyle won 5–4 on penalties	Plymouth Argyle won 5–4 on penalties	Plymouth Argyle won 5–4 on penalties	Plymouth Argyle won 5–4 on penalties	Plymouth Argyle won 5–4 on penalties
21	Oldham Athletic	2–0	Gillingham	14 November 1998
22	Worcester City	0–1	Torquay United	14 November 1998
23	Southend United	0–1	Doncaster Rovers	14 November 1998
24	Mansfield Town	2–1	Hayes	14 November 1998
25	Cardiff City	6–0	Chester City	14 November 1998
26	Cheltenham Town	0–1	Lincoln City	14 November 1998
27	Kingstonian	1–0	Burton Albion	14 November 1998
28	Dulwich Hamlet	0–1	Southport	14 November 1998
29	Runcorn	1–1	Stevenage Borough	14 November 1998
Replay	Stevenage Borough	2–0	Runcorn	23 November 1998
30	Wigan Athletic	4–3	Blackpool	14 November 1998
31	Tamworth	2–2	Exeter City	14 November 1998
Replay	Exeter City	4–1	Tamworth	24 November 1998
32	Leyton Orient	4–2	Brighton & Hove Albion	14 November 1998
33	Hendon	0–0	Notts County	15 November 1998
Replay	Notts County	3–0	Hendon	1 December 1998
34	Basingstoke Town	1–2	Bournemouth	14 November 1998
35	Telford United	0–2	Cambridge United	14 November 1998
36	Swansea City	3–0	Millwall	13 November 1998
37	Emley	1–1	Rotherham United	15 November 1998
Replay	Rotherham United	3–1	Emley	24 November 1998
38	Hartlepool United	2–1	Carlisle United	14 November 1998
39	Rushden & Diamonds	1–0	Shrewsbury Town	14 November 1998
40	Salisbury City	0–2	Hull City	14 November 1998
