Round	Location	Circuit	Date	Winning Driver
NC	United Arab Emirates	Dubai Autodrome	January 25	Gianni Morbidelli
NC	United Arab Emirates	Dubai Autodrome	January 26	Gianni Morbidelli
1	Indonesia	Sentul International Circuit	February 16	Jean Alesi
2	Indonesia	Sentul International Circuit	February 17	Uwe Alzen
3	Malaysia	Sepang International Circuit	March 22	Jean Alesi
4	Malaysia	Sepang International Circuit	March 23	Uwe Alzen
5	Bahrain	Bahrain International Circuit	April 5	David Terrien
6	Bahrain	Bahrain International Circuit	April 6	Gianni Morbidelli
7	United Arab Emirates	Dubai Autodrome	April 11	Johnny Herbert
8	United Arab Emirates	Dubai Autodrome	April 12	Johnny Herbert
