Season	Player	Nationality	Club	Goals
1923–24	Heinrich Schönfeld	Austria	Torino	22
1924–25	Mario Magnozzi	Italy	Livorno	19
1925–26	Ferenc Hirzer	Hungary	Juventus	35
1926–27	Anton Powolny	Austria	Internazionale	22
1927–28	Julio Libonatti	Argentina / Italy	Torino	35
1928–29	Gino Rossetti	Italy	Torino	36
1929–30	Giuseppe Meazza	Italy	Ambrosiana-Inter	31
1930–31	Rodolfo Volk	Italy	Roma	29
1931–32	Angelo Schiavio Pedro Petrone	Italy Uruguay	Bologna Fiorentina	25
1932–33	Felice Borel	Italy	Juventus	29
1933–34	Felice Borel	Italy	Juventus	31
1934–35	Enrique Guaita	Argentina / Italy	Roma	28
1935–36	Giuseppe Meazza	Italy	Ambrosiana-Inter	25
1936–37	Silvio Piola	Italy	Lazio	21
1937–38	Giuseppe Meazza	Italy	Ambrosiana-Inter	20
1938–39	Ettore Puricelli Aldo Boffi	Uruguay / Italy Italy	Bologna Milan	19
1939–40	Aldo Boffi	Italy	Milan	24
1940–41	Ettore Puricelli	Uruguay / Italy	Bologna	22
1941–42	Aldo Boffi	Italy	Milan	22
1942–43	Silvio Piola	Italy	Lazio	21
1943–45	Not awarded	N/A	N/A	N/A
1945–46	Guglielmo Gabetto	Italy	Torino	22
1946–47	Valentino Mazzola	Italy	Torino	29
1947–48	Giampiero Boniperti	Italy	Juventus	27
1948–49	István Nyers	Hungary	Internazionale	26
1949–50	Gunnar Nordahl	Sweden	Milan	35
1950–51	Gunnar Nordahl	Sweden	Milan	34
1951–52	John Hansen	Denmark	Juventus	30
1952–53	Gunnar Nordahl	Sweden	Milan	26
1953–54	Gunnar Nordahl	Sweden	Milan	23
1954–55	Gunnar Nordahl	Sweden	Milan	27
1955–56	Gino Pivatelli	Italy	Bologna	29
1956–57	Dino da Costa	Brazil / Italy	Roma	22
1957–58	John Charles	Wales	Juventus	28
1958–59	Antonio Valentín Angelillo	Argentina / Italy	Internazionale	33
1959–60	Omar Sívori	Argentina / Italy	Juventus	28
1960–61	Sergio Brighenti	Italy	Sampdoria	27
1961–62	José Altafini Aurelio Milani	Brazil / Italy Italy	Milan Fiorentina	22
1962–63	Harald Nielsen Pedro Manfredini	Denmark Argentina	Bologna Roma	19
1963–64	Harald Nielsen	Denmark	Bologna	17
1964–65	Sandro Mazzola Alberto Orlando	Italy Italy	Internazionale Fiorentina	17
1965–66	Luis Vinicio	Brazil	Vicenza	25
1966–67	Gigi Riva	Italy	Cagliari	18
1967–68	Pierino Prati	Italy	Milan	15
1968–69	Gigi Riva	Italy	Cagliari	21
1969–70	Gigi Riva	Italy	Cagliari	21
1970–71	Roberto Boninsegna	Italy	Internazionale	24
1971–72	Roberto Boninsegna	Italy	Internazionale	22
1972–73	Giuseppe Savoldi Paolino Pulici Gianni Rivera	Italy Italy Italy	Bologna Torino Milan	17
1973–74	Giorgio Chinaglia	Italy	Lazio	24
1974–75	Paolino Pulici	Italy	Torino	18
1975–76	Paolino Pulici	Italy	Torino	21
1976–77	Francesco Graziani	Italy	Torino	21
1977–78	Paolo Rossi	Italy	Vicenza	24
1978–79	Bruno Giordano	Italy	Lazio	19
1979–80	Roberto Bettega	Italy	Juventus	16
1980–81	Roberto Pruzzo	Italy	Roma	18
1981–82	Roberto Pruzzo	Italy	Roma	15
1982–83	Michel Platini	France	Juventus	16
1983–84	Michel Platini	France	Juventus	20
1984–85	Michel Platini	France	Juventus	18
1985–86	Roberto Pruzzo	Italy	Roma	19
1986–87	Pietro Paolo Virdis	Italy	Milan	17
1987–88	Diego Maradona	Argentina	Napoli	15
1988–89	Aldo Serena	Italy	Internazionale	22
1989–90	Marco van Basten	Netherlands	Milan	19
1990–91	Gianluca Vialli	Italy	Sampdoria	19
1991–92	Marco van Basten	Netherlands	Milan	25
1992–93	Giuseppe Signori	Italy	Lazio	26
1993–94	Giuseppe Signori	Italy	Lazio	23
1994–95	Gabriel Batistuta	Argentina	Fiorentina	26
1995–96	Igor Protti Giuseppe Signori	Italy Italy	Bari Lazio	24
1996–97	Filippo Inzaghi	Italy	Atalanta	24
1997–98	Oliver Bierhoff	Germany	Udinese	27
1998–99	Márcio Amoroso	Brazil	Udinese	22
1999-00	Andriy Shevchenko	Ukraine	Milan	24
2000–01	Hernán Crespo	Argentina	Lazio	26
2001–02	David Trezeguet Dario Hübner	France Italy	Juventus Piacenza	24
2002–03	Christian Vieri	Italy	Internazionale	24
2003–04	Andriy Shevchenko	Ukraine	Milan	24
2004–05	Cristiano Lucarelli	Italy	Livorno	24
2005–06	Luca Toni	Italy	Fiorentina	31
2006–07	Francesco Totti	Italy	Roma	26
2007–08	Alessandro Del Piero	Italy	Juventus	21
2008–09	Zlatan Ibrahimović	Sweden	Internazionale	25
2009–10	Antonio Di Natale	Italy	Udinese	29
2010–11	Antonio Di Natale	Italy	Udinese	28
2011–12	Zlatan Ibrahimović	Sweden	Milan	28
2012–13	Edinson Cavani	Uruguay	Napoli	29
