No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
56	1	"Hostage (Part 1)"	Ted Demme	James Yoshimura	September20,1996	501
57	2	"Hostage (Part 2)"	Jean De Segonzac	Julie Martin	September27,1996	502
58	3	"Prison Riot"	Kenneth Fink	Tom Fontana	October18,1996	503
59	4	"Bad Medicine"	Kenneth Fink	David Simon	October25,1996	504
60	5	"M.E., Myself and I"	Michael Fields	Lyle Weldon & Emily Whitesell	November1,1996	505
61	6	"White Lies"	Peter Weller	Anya Epstein	November8,1996	506
62	7	"The Heart of a Saturday Night"	Whit Stillman	Henry Bromell	November15,1996	507
63	8	"The True Test"	Alan Taylor	Noel Behn	November22,1996	508
64	9	"Control"	Jean De Segonzac	Les Carter & Susan Sisko	December6,1996	509
65	10	"Blood Wedding"	Kevin Hooks	Matthew Witten	December13,1996	510
66	11	"The Documentary"	Barbara Kopple	Eric Overmyer	January3,1997	511
67	12	"Betrayal"	Clark Johnson	Gay Walch	January10,1997	512
68	13	"Have a Conscience"	Uli Edel	James Yoshimura	January17,1997	513
69	14	"Diener"	Kyle Secor	Christopher Kyle	January31,1997	514
70	15	"Wu's on First?"	Tim McCann	David Simon & Anya Epstein	February7,1997	515
71	16	"Valentine's Day"	Clark Johnson	Tom Fontana	February14,1997	516
72	17	"Kaddish"	Jean De Segonzac	Linda McGibney	February21,1997	517
73	18	"Double Blind"	Uli Edel	Lee Blessing & Jeanne Blake	April11,1997	518
74	19	"Deception"	Peter Medak	Debbie Sarjeant	April25,1997	519
75	20	"Narcissus"	Jean De Segonzac	Yaphet Kotto	May2,1997	520
76	21	"Partners and Other Strangers"	Leslie Libman & Larry Williams	Anya Epstein, Julie Martin & Darryl LeMont Wharton	May9,1997	521
