Name	Tests	Club	Career caps	Tour Apps	Position
A.W. Ross	5	Sydney University	20	29	Full Back
A.J.A. Bowers	1	Eastern Suburbs , Randwick	7	9	Three-Quarter
J.B. Egan	0	Eastern Suburbs	0	7	Three-Quarter
E.E. Ford	5	Glebe-Balmain	7	21	Three-Quarter
G.C.Gordon	0	Western Suburbs , Newcastle YMCA	1	8	Three-Quarter
S.C. King	4	Western Suburbs	14	19	Three-Quarter
W.H. Mann	0	Sydney University	0	7	Three-Quarter
W.B.J.Sheehan	2	Sydney University	18	12	Three-Quarter
C.H.T. Towers	3	Randwick	19	29	Three-Quarter
A.C. Wallace (c)	5	Sydney University	8	22	Three-Quarter
J.L. Duncan	0	Randwick	1	8	Half-Back
S.J. Malcolm	3	Cook's Hill Surf Club, Newcastle YMCA, Manly	18	11	Half-Back
F.W. Meagher	2	Randwick	8	12	Half-Back
T. Lawton	5	Sydney University , Western Suburbs	14	27	Half-Back
J.G. Blackwood	5	Eastern Suburbs	21	23	Forward
G.V. Bland	0	Manly	9	4	Forward
M.R. Blair	1	Western Suburbs	3	7	Forward
J.W.P. Breckenridge	5	Glebe-Balmain	11	26	Forward
A.N. Finlay	5	Sydney University	12	24	Forward
J.A. Ford	4	Glebe-Balmain	11	25	Forward
C.L. Fox (v.c)	1	Northern Suburbs	17	12	Forward
E.N. Greatorex	2	Newcastle YMCA	8	14	Forward
P.B. Judd	4	Western Suburbs	11	24	Forward
G.P. Storey	5	Western Suburbs	8	20	Forward
A.N. Tancred	3	Glebe-Balmain	3	16	Forward
J.L. Tancred	2	Glebe-Balmain	2	16	Forward
K. Tarleton	0	Newcastle YMCA	2	9	Forward
E.J. Thorn	0	Manly	15	13	Forward
H.F. Woods	4	Newcastle YMCA	8	19	Forward
