Date	Opponents	H / A	Result F – A	Attendance	League position
25 August 1990	Coventry City	H	2 – 0	46,715	4th
28 August 1990	Leeds United	A	0 – 0	29,174	3rd
1 September 1990	Sunderland	A	1 – 2	26,105	6th
4 September 1990	Luton Town	A	1 – 0	12,576	4th
8 September 1990	Queens Park Rangers	H	3 – 1	43,427	3rd
16 September 1990	Liverpool	A	0 – 4	35,726	6th
22 September 1990	Southampton	H	3 – 2	41,288	3rd
29 September 1990	Nottingham Forest	H	0 – 1	46,766	5th
20 October 1990	Arsenal	H	0 – 1	47,322	7th
27 October 1990	Manchester City	A	3 – 3	36,427	6th
3 November 1990	Crystal Palace	H	2 – 0	45,724	6th
10 November 1990	Derby County	A	0 – 0	21,115	6th
17 November 1990	Sheffield United	H	2 – 0	45,903	6th
25 November 1990	Chelsea	H	2 – 3	37,836	7th
1 December 1990	Everton	A	1 – 0	32,400	7th
8 December 1990	Leeds United	H	1 – 1	40,947	7th
15 December 1990	Coventry City	A	2 – 2	17,106	9th
22 December 1990	Wimbledon	A	3 – 1	9,644	7th
26 December 1990	Norwich City	H	3 – 0	39,801	6th
29 December 1990	Aston Villa	H	1 – 1	47,485	6th
1 January 1991	Tottenham Hotspur	A	2 – 1	29,399	5th
12 January 1991	Sunderland	H	3 – 0	45,394	5th
19 January 1991	Queens Park Rangers	A	1 – 1	18,544	5th
3 February 1991	Liverpool	H	1 – 1	43,690	5th
26 February 1991	Sheffield United	A	1 – 2	27,570	5th
2 March 1991	Everton	H	0 – 2	45,656	5th
9 March 1991	Chelsea	A	2 – 3	22,818	6th
13 March 1991	Southampton	A	1 – 1	15,701	5th
16 March 1991	Nottingham Forest	A	1 – 1	23,859	5th
23 March 1991	Luton Town	H	4 – 1	41,752	5th
30 March 1991	Norwich City	A	3 – 0	18,282	5th
2 April 1991	Wimbledon	H	2 – 1	36,660	5th
6 April 1991	Aston Villa	A	1 – 1	33,307	5th
16 April 1991	Derby County	H	3 – 1	32,776	4th
4 May 1991	Manchester City	H	1 – 0	45,286	6th
6 May 1991	Arsenal	A	1 – 3	40,229	6th
11 May 1991	Crystal Palace	A	0 – 3	25,301	6th
20 May 1991	Tottenham Hotspur	H	1 – 1	46,791	6th
