Week	Date	Opponent	Result	Attendance
1	September 16, 1973	at Kansas City Chiefs	W 23-13	62,315
2	September 23, 1973	Atlanta Falcons	W 31-0	61,197
3	September 30, 1973	at San Francisco 49ers	W 40-20	57,487
4	October 7, 1973	at Houston Oilers	W 31-26	34,875
5	October 14, 1973	Dallas Cowboys	W 37-31	81,428
6	October 21, 1973	Green Bay Packers	W 24-7	80,558
7	October 28, 1973	at Minnesota Vikings	L 10-9	47,787
8	November 4, 1973	at Atlanta Falcons	L 15-13	55,837
9	November 11, 1973	New Orleans Saints	W 29-7	70,358
10	November 18, 1973	San Francisco 49ers	W 31-13	78,358
11	November 25, 1973	at New Orleans Saints	W 24-13	67,192
12	December 2, 1973	at Chicago Bears	W 26-0	47,620
13	December 10, 1973	New York Giants	W 40-6	73,328
14	December 16, 1973	Cleveland Browns	W 30-17	73,948
