Week	Division	Position	Player	School
March 4	East	Player	Mary Russell	Buffalo
March 4	East	Pitcher	Christina Swierz	Akron
March 4	West	Player	Jenny Scherer	Eastern Michigan
March 4	West	Pitcher	Kyla Sullivan (1)	Western Michigan
March 18	East	Player	Sharon Barr	Buffalo
March 18	East	Pitcher	Kylie Reynolds	Kent State
March 18	West	Player	Michelle Nendza	NIU
March 18	West	Pitcher	Tiffany Garofano (2)	Ball State
March 25	East	Player	Christine Bills	Miami
March 25	East	Pitcher	Gabrielle Burns (3)	Kent State
March 25	West	Player	Leslie Strong	Toledo
March 25	West	Pitcher	Kyla Sullivan (2)	Western Michigan
