Year	Division	League	Reg. Season	Playoffs	Open Cup
1994	3	USISL	3rd, Northeast	Divisional Semifinals	Did not enter
1995	3	USISL Pro League	4th, Coastal	Divisional Semifinals	Did not qualify
1996	3	USISL Select League	5th, North Atlantic	Did not qualify	Did not qualify
1997	3	USISL D-3 Pro League	7th, Northeast	Did not qualify	Did not qualify
1998	3	USISL D-3 Pro League	4th, Northeast	Division Semifinals	Did not qualify
1999	3	USL D3-Pro League	7th, Northern	Did not qualify	1st Round
2000	3	USL D3-Pro League	6th, Northern	Did not qualify	2nd Round
2001	4	USL PDL	6th, Northeast	Did not qualify	2nd Round
2002	4	USL PDL	2nd, Northeast	Champion	Did not qualify
2003	4	USL PDL	2nd, Northeast	Champion	Did not qualify
2004	4	USL PDL	2nd, Northeast	Conference Semifinals	3rd Round
2005	4	USL PDL	1st, Northeast	Conference Semifinals	Did not qualify
2006	4	USL PDL	1st, New England	Conference Finals	1st Round
2007	4	USL PDL	1st, Northeast	Conference Finals	Did not qualify
