Game	February	Opponent	Score	Record	Points
54	2	Tampa Bay Lightning	1–2	26–12–11–5	68
55	4	Washington Capitals	5–1	27–12–11–5	70
56	5	@ Atlanta Thrashers	5–1	28–12–11–5	72
57	10	New Jersey Devils	4–1	29–12–11–5	74
58	12	@ New York Rangers	2–1	30–12–11–5	76
59	14	New York Rangers	6–2	31–12–11–5	78
60	16	San Jose Sharks	2–5	31–13–11–5	78
61	17	@ Tampa Bay Lightning	2–5	31–14–11–5	78
62	19	Boston Bruins	3–4	31–15–11–5	78
63	21	Atlanta Thrashers	5–4	32–15–11–5	80
64	24	Chicago Blackhawks	3–1	33–15–11–5	82
65	26	@ Ottawa Senators	1–1 OT	33–15–12–5	83
66	28	@ Boston Bruins	2–3 OT	33–15–12–6	84
67	29	@ Detroit Red Wings	2–4	33–16–12–6	84
