Track	Recorded	Release Date	Song Title	Writer(s)	Time
1.	1/13/57	3/22/57	That's When Your Heartaches Begin	Fred Fisher , Billy Hill , William Raskin	3:20
2.	1/13/57	4/57	Take My Hand, Precious Lord	Thomas A. Dorsey	3:16
3.	1/19/57	4/57	It Is No Secret (What God Can Do)	Stuart Hamblen	3:53
4.	1/19/57	4/57	Blueberry Hill	Vincent Rose , Al Lewis , Larry Stock	2:39
5.	1/19/57	4/57	Have I Told You Lately That I Love You	Scott Weisman	2:31
6.	1/19/57	4/57	Is It So Strange	Faron Young	2:28
7.	1/57	7/1/57	Party	Jessie Mae Robinson	1:26
8.	1/15/57	7/1/57	Lonesome Cowboy	Sid Tepper and Roy C. Bennett	3:07
9.	1/18/57	7/1/57	Hot Dog	Jerry Leiber and Mike Stoller	1:17
10.	1/24/57	1983	One Night of Sin	Dave Bartholomew , Pearl King , Anita Steiman	2:35
11.	1/24/57	6/11/57	(Let Me Be Your) Teddy Bear	Kal Mann and Bernie Lowe	1:45
12.	2/23/57	7/1/57	" Don't Leave Me Now "	Aaron Schroeder and Ben Weisman	1:58
13.	2/23/57	1/7/58	I Beg of You	Rose Marie McCoy and Cliff Owens	1:50
14.	2/23/57	10/21/58	One Night	Dave Bartholomew , Pearl King , Anita Steiman	2:29
15.	2/23/57	7/1/57	True Love	Cole Porter	2:05
16.	2/23/57	4/57	I Need You So	Ivory Joe Hunter	2:37
17.	2/24/57	6/11/57	Loving You	Jerry Leiber and Mike Stoller	2:12
18.	2/24/57	8/10/65	When It Rains It Really Pours	William Emerson	1:47
19.	4/30/57	9/24/57	Jailhouse Rock	Jerry Leiber and Mike Stoller	2:26
20.	4/30/57	10/57	Young And Beautiful	Aaron Schroeder and Abner Silver	2:02
21.	4/30/57	10/57	I Want To Be Free	Jerry Leiber and Mike Stoller	2:12
22.	4/30/57	10/57	(You're So Square) Baby I Don't Care	Jerry Leiber and Mike Stoller	1:51
23.	4/30/57	10/57	" Don't Leave Me Now "	Aaron Schroeder and Ben Weisman	2:05
24.	9/5/57	10/15/57	Blue Christmas	Bill Hayes and Jay Johnson	2:07
25.	9/6/57	10/15/57	White Christmas	Irving Berlin	2:23
26.	9/6/57	10/15/57	Here Comes Santa Claus	Gene Autry and Oakley Haldeman	1:54
27.	9/6/57	10/15/57	Silent Night	Joseph Mohr and Franz Gruber	2:23
28.	9/7/57	10/15/57	O Little Town of Bethlehem	Phillips Brooks and Lewis H. Redner	2:35
29.	9/7/57	10/15/57	Santa Bring My Baby Back (To Me)	Aaron Schroeder and Claude DeMetruis	1:54
30.	9/7/57	10/15/57	Santa Claus Is Back In Town	Jerry Leiber and Mike Stoller	2:22
31.	9/7/57	10/15/57	I'll Be Home for Christmas	Buck Ram , Kim Gannon , Walter Kent	1:53
