Week	Date	TV Time	Opponent	Result
1	September 3, 2000	ESPN 7:30 pm CDT	at Buffalo Bills	L 13-16
2	September 10, 2000	CBS 12:00 pm CDT	Kansas City Chiefs	W 17–14
3	Bye	Bye	Bye	Bye
4	September 24, 2000	CBS 12:00 pm CDT	at Pittsburgh Steelers	W 23–20
5	October 1, 2000	FOX 12:00 pm CDT	New York Giants	W 28–14
6	October 8, 2000	CBS 12:00 pm CDT	at Cincinnati Bengals	W 23–14
7	October 16, 2000	ABC 8:00 pm CDT	Jacksonville Jaguars	W 27–13
8	October 22, 2000	CBS 12:00 pm CDT	at Baltimore Ravens	W 14–6
9	October 30, 2000	ABC 8:00 pm CDT	at Washington Redskins	W 27–21
10	November 5, 2000	CBS 12:00 pm CDT	Pittsburgh Steelers	W 9–7
11	November 12, 2000	CBS 12:00 pm CDT	Baltimore Ravens	L 23-24
12	November 19, 2000	CBS 12:00 pm CDT	Cleveland Browns	W 24–10
13	November 26, 2000	CBS 3:15 pm CDT	at Jacksonville Jaguars	L 13-16
14	December 3, 2000	CBS 12:00 pm CDT	at Philadelphia Eagles	W 15–13
15	December 10, 2000	CBS 12:00 pm CDT	Cincinnati Bengals	W 35–3
16	December 17, 2000	CBS 12:00 pm CDT	at Cleveland Browns	W 24–0
17	December 25, 2000	ABC 8:00 pm CDT	Dallas Cowboys	W 31–0
