Week	Date	Opponent	Result	Attendance
1	September 1, 1991	Los Angeles Raiders	W 47–17	61,367
2	September 8, 1991	at Cincinnati Bengals	W 30–7	56,463
3	September 16, 1991	Kansas City Chiefs	W 17–7	61,058
4	September 22, 1991	at New England Patriots	L 24–20	30,702
5	Bye	Bye	Bye	Bye
6	October 6, 1991	Denver Broncos	W 42–14	59,145
7	October 13, 1991	at New York Jets	W 23–20	70,758
8	October 20, 1991	at Miami Dolphins	W 17–13	60,705
9	October 27, 1991	Cincinnati Bengals	W 35–3	58,634
10	November 3, 1991	at Washington Redskins	L 16–13	55,096
11	November 10, 1991	Dallas Cowboys	W 26–23	63,001
12	November 17, 1991	Cleveland Browns	W 28–24	58,155
13	November 24, 1991	at Pittsburgh Steelers	L 26–14	45,795
14	December 2, 1991	Philadelphia Eagles	L 13–6	61,141
15	December 8, 1991	Pittsburgh Steelers	W 31–6	59,225
16	December 15, 1991	at Cleveland Browns	W 17–14	55,680
17	December 21, 1991	at New York Giants	L 24–20	63,421
