Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	22-11	Matt Horwich	TKO (punches)	KSW XXI	2	4:08	Warsaw , Poland
Win	22-10	Allen Hope	TKO (punches and elbows)	MFC 31	1	2:13	Edmonton, Alberta , Canada
Loss	21-10	Douglas Lima	TKO (punches)	MFC 29: Conquer	1	1:14	Windsor, Ontario , Canada
Win	21-9	Josh Martin	TKO (punches)	Nemesis Fighting: MMA Global Invasion	1	1:27	Punta Cana , Dominican Republic
Win	20–9	Jorge Ortiz	Decision (split)	Powerhouse World Promotions: War on the Mainland	3	5:00	Irvine, California , United States
Win	19–9	Ted Worthington	Decision (unanimous)	King of the Cage: Turbulence II	3	5:00	Lac du Flambeau, Wisconsin , United States
Loss	18–9	Julio Paulino	KO (punch)	Arena Rumble II	3	3:40	Spokane, Washington , United States
Loss	18–8	Zak Cummings	Decision (unanimous)	XCF: Rumble in Racetown	3	5:00	Daytona, Florida , United States
Loss	18–7	Scott Smith	KO (punch)	Strikeforce: Destruction	1	0:24	San Jose, California , United States
Win	18–6	Cory Devela	KO (punch)	Strikeforce: At The Mansion II	3	2:08	Beverly Hills, California , United States
Loss	17–6	Vitor Belfort	KO (punches)	Affliction: Banned	2	3:12	Anaheim, California , United States
Win	17–5	Daiju Takase	DQ (groin kicks)	Adrenaline MMA: Guida vs Russow	2	3:35	Chicago, Illinois , United States
Loss	16–5	Marvin Eastman	Decision (unanimous)	UFC 81	3	5:00	Las Vegas, Nevada , United States
Loss	16–4	Chris Leben	KO (punch)	UFC Fight Night 11	3	3:56	Las Vegas, Nevada , United States
Win	16–3	Ivan Salaverry	TKO (slam and punches)	UFC 71	1	2:04	Las Vegas, Nevada , United States
Win	15–3	Jorge Rivera	KO (punches)	UFC 67	1	0:14	Las Vegas, Nevada , United States
Win	14–3	Jason Guida	KO (punch)	XFO 13	3	0:08	Hoffman Estates, Illinois , United States
Win	13–3	Keith Berry	TKO (punches)	WEC 24	1	2:52	Lemoore, California , United States
Loss	12–3	Jason Lambert	TKO (punches)	UFC 59	2	2:37	Anaheim, California , United States
Win	12–2	Trevor Garrett	KO (punch)	KOTC: Redemption on the River	1	1:40	Moline, Illinois , United States
Win	11–2	Ron Fields	Submission (guillotine choke)	KOTC: Raging Bull	2	2:37	Cleveland, Ohio , United States
Loss	10–2	James Irvin	KO (flying knee)	UFC 54	2	0:09	Las Vegas, Nevada , United States
Win	10–1	Jerry Spiegel	TKO (punches)	Combat: Do Fighting Challenge 3	2	1:55	Illinois , United States
Win	9–1	Homer Moore	Submission (punches)	WEC 14: Vengeance	2	3:14	Lemoore, California , United States
Win	8–1	Jerry Spiegel	TKO (knee)	Combat: Do Fighting Challenge 2	1	1:09	Illinois , United States
Win	7–1	Chael Sonnen	TKO (corner stoppage)	Xtreme Fighting Organization 4	2	5:00	McHenry, Illinois , United States
Win	6–1	Jeff Gerlick	Submission (guillotine choke)	Combat: Do Fighting Challenge 1	1	2:58	Cicero, Illinois , United States
Win	5–1	William Hill	KO (punches)	Xtreme Fighting Organization 3	3	0:19	McHenry, Illinois , United States
Win	4–1	William Hill	KO (punches)	IHC 7: The Crucible	2	2:57	Hammond, Indiana , United States
Win	3–1	Greg Franklin	Submission (keylock)	Extreme Challenge 54	1	2:27	Lakemoor, Illinois , United States
Win	2–1	Ron Fields	Submission (rear naked choke)	Extreme Challenge 51	1	10:00	St. Charles, Illinois , United States
Win	1–1	Rob Smith	Decision	Silverback Classic 16	3	5:00	Canton, Illinois , United States
Loss	0-1	Stephan Bonnar	Decision (unanimous)	Maximum Fighting Challenge	1	10:00	Hammond, Indiana , United States
