Circuit	Location	Date	Pole Position	Fastest Lap	Winner
March 8	Daytona International Speedway	Daytona Beach, Florida	Mat Mladin	Mat Mladin	Mat Mladin
April 19	Barber Motorsports Park	Leeds, Alabama	Mat Mladin	Mat Mladin	Mat Mladin
April 20	Barber Motorsports Park	Leeds, Alabama	Mat Mladin	Ben Spies	Mat Mladin
April 26	Auto Club Speedway	Fontana, California	Ben Spies	Mat Mladin	Ben Spies
April 27	Auto Club Speedway	Fontana, California	Ben Spies	Mat Mladin	Ben Spies
May 17	Infineon Raceway	Sonoma, California	Ben Spies	Ben Spies	Ben Spies
May 18	Infineon Raceway	Sonoma, California	Ben Spies	Ben Spies	Ben Spies
May 30	Miller Motorsports Park	Tooele, Utah	Ben Spies	Ben Spies	Ben Spies
June 1	Miller Motorsports Park	Tooele, Utah	Ben Spies	Ben Spies	Ben Spies
June 7	Road America	Elkhart Lake, Wisconsin	Ben Spies	Ben Spies	Ben Spies
June 8	Road America	Elkhart Lake, Wisconsin	Ben Spies	Ben Spies	Mat Mladin
July 20	Mazda Raceway Laguna Seca	Monterey, California	Ben Spies	Mat Mladin	Mat Mladin
August 2	Mid-Ohio Sports Car Course	Lexington, Ohio	Ben Spies	Mat Mladin	Mat Mladin
August 3	Mid-Ohio Sports Car Course	Lexington, Ohio	Ben Spies	Mat Mladin	Mat Mladin
August 16	Virginia International Raceway	Danville, Virginia	Ben Spies	Mat Mladin	Ben Spies
August 17	Virginia International Raceway	Danville, Virginia	Ben Spies	Mat Mladin	Ben Spies
August 30	Road Atlanta	Braselton, Georgia	Ben Spies	Ben Spies	Mat Mladin
August 31	Road Atlanta	Braselton, Georgia	Ben Spies	Ben Spies	Ben Spies
September 28	Mazda Raceway Laguna Seca	Monterey, California	Mat Mladin	Mat Mladin	Mat Mladin
