Date	Tournament	Surface	Opponent	Score
17 May 2004	Lleida	Clay	Tomislav Peric	7–6 (7–3) , 6–3
22 August 2005	Unterföhring	Clay	Dominik Meffert	7–6 (7–3) , 0–6, 6–3
29 August 2005	Alphen aan den Rijn	Clay	Max Raditschnigg	7–6 (7–2) , 7–6(4)
5 September 2005	Enschede	Clay	Torsten Popp	6–0, 2–0 RET
27 February 2006	Shenzhen	Hard	Go Soeda	6–3, 6–2
11 September 2006	Almere	Clay	Antal van der Duim	6–2, 6–3
26 October 2009	Antalya	Clay	Andrei Mlendea	6–1, 6–1
2 September 2009	Antalya	Clay	Andrei Mlendea	3–0 RET
30 November 2009	Kuala Lumpur	Hard	Marin Bradaric	7–6, 6–3
17 January 2010	Schwieberdingen	Carpet	Gilles Müller	6–2, 6–7 (4–7) , 6–3
7 March 2009	Antalya	Clay	Éric Prodon	7–6 (7–4) , 6–0
3 September 2007	Alphen aan den Rijn	Clay	Augustin Gensse	6–4, 6–7 (9–11) , 7–6 (7–4)
7 July 2008	Scheveningen	Clay	Diego Hartfield	6–3, 6–4
22 March 2009	Caltanissetta	Clay	Thiemo de Bakker	6–2, 6–3
15 August 2010	Trani	Clay	Filippo Volandri	7–6 (7–3) , 6–3
12 September 2010	Alphen aan den Rijn	Clay	Thomas Schoorel	6–7, 6–4, 6–4
3 March 2013	Cherbourg	Hard	Vincent Millot	6–1, 6–3
7 April 2013	Saint-Brieuc	Hard	Kenny de Schepper	7–6, 4–6, 7–6
