Year	Champion	Runner-up	Top goalscorer	Club	Goals
1996	Inter/Ulbra ( RS )	Vasco /DalPonte/Unimed ( RS )	Ortiz	Inter/Ulbra	25
1997	Atlético Mineiro/Pax de Minas ( MG )	Banespa /Phercani	Vander Carioca , Lenísio	Atlético Mineiro/Pax de Minas , GM/Chevrolet	36
1998	Ulbra ( RS )	ACBF (Carlos Barbosa) ( RS )	Índio	Ulbra	25
1999	Atlético Mineiro/Pax de Minas ( MG )	Rio de Janeiro/Miécimo ( RJ )	Manoel Tobias	Atlético Mineiro/Pax de Minas	52
2000	Vasco da Gama ( RJ )	Atlético Mineiro ( MG )	Lenísio	Atlético Mineiro	50
2001	ACBF (Carlos Barbosa) ( RS )	Ulbra ( RS )	Lenísio	Ulbra	25
2002	Ulbra ( RS )	W@ytv/Minas ( MG )	Lenísio	Ulbra	31
2003	Ulbra ( RS )	ACBF (Carlos Barbosa) ( RS )	Pablo	ACBF (Carlos Barbosa)	25
2004	ACBF (Carlos Barbosa) ( RS )	Ulbra ( RS )	Pablo	ACBF (Carlos Barbosa)	27
2005	Malwee/Jaraguá ( SC )	Atlântico ( RS )	Falcão	Malwee/Jaraguá	25
2006	ACBF (Carlos Barbosa) ( RS )	Malwee/Jaraguá ( SC )	Marinho	Intelli/Topper	25
2007	Malwee/Jaraguá ( SC )	Joinville /Krona/Dalponte ( SC )	Willian	Malwee/Jaraguá	31
2008	Malwee Futsal ( SC )	Ulbra/Suzano ( RS )	Falcão	Malwee Futsal	32
2009	ACBF (Carlos Barbosa) ( RS )	Malwee Futsal ( SC )	Falcão , Lenísio	Malwee Futsal	32
2010	Malwee Futsal ( SC )	Marechal Rondon ( SC )	Falcão	Malwee Futsal	39
2011	Santos/Cortiana ( SP )	ACBF (Carlos Barbosa) ( RS )	Falcão	Santos	32
2012	ADC Intelli/ Orlândia ( SP )	Joinville /Krona/Dalponte ( SC )	Gustavo	ACBF (Carlos Barbosa)	24
