Rider	Bike	Laps	Time	Grid
Ruben Xaus	Ducati 1098 RS 08	24	39:19.710	3
Max Biaggi	Ducati 1098 RS 08	24	+1.035	5
Troy Bayliss	Ducati 1098 F08	24	+4.158	2
Noriyuki Haga	Yamaha YZF-R1	24	+5.466	14
Troy Corser	Yamaha YZF-R1	24	+6.759	1
Lorenzo Lanzi	Ducati 1098 RS 08	24	+13.468	6
Max Neukirchner	Suzuki GSX-R1000	24	+15.221	10
Carlos Checa	Honda CBR1000RR	24	+16.687	11
Jakub Smrz	Ducati 1098 RS 08	24	+17.030	7
Fonsi Nieto	Suzuki GSX-R1000	24	+17.681	9
Michel Fabrizio	Ducati 1098 F08	24	+21.356	4
Yukio Kagayama	Suzuki GSX-R1000	24	+28.676	13
Ryuichi Kiyonari	Honda CBR1000RR	24	+31.304	22
Gregorio Lavilla	Honda CBR1000RR	24	+32.339	19
Shinichi Nakatomi	Yamaha YZF-R1	24	+33.716	20
David Checa	Yamaha YZF-R1	24	+34.171	18
Ayrton Badovini	Kawasaki ZX-10R	24	+40.638	16
Roberto Rolfo	Honda CBR1000RR	24	+41.136	17
Shuhei Aoyama	Honda CBR1000RR	24	+49.699	23
Jason Pridmore	Honda CBR1000RR	23	Retirement	27
Sébastien Gimbert	Yamaha YZF-R1	14	Retirement	21
Vittorio Iannuzzo	Kawasaki ZX-10R	8	Retirement	25
Régis Laconi	Kawasaki ZX-10R	5	Retirement	8
Makoto Tamada	Kawasaki ZX-10R	2	Accident	12
Karl Muggeridge	Honda CBR1000RR	2	Retirement	15
Kenan Sofuoğlu	Honda CBR1000RR	0	Accident	24
