Election	1st Member	1st Party	2nd Member	2nd Party
1832	Sir Oswald Mosley, Bt	Whig	Edward Manningham-Buller	Whig
1837	Hon. Bingham Baring	Conservative	Edward Manningham-Buller	Whig
1841	Jesse David Watts Russell	Conservative	Charles Adderley	Conservative
1847	Viscount Brackley	Conservative	Charles Adderley	Conservative
1851 by-election	Smith Child	Conservative	Charles Adderley	Conservative
1859	Viscount Ingestre	Conservative	Charles Adderley	Conservative
1865	Sir Edward Manningham-Buller, Bt	Liberal	Charles Adderley	Conservative
1874	Colin Minton Campbell	Conservative	Charles Adderley	Conservative
1878 by-election	Colin Minton Campbell	Conservative	Robert William Hanbury	Conservative
1880	William Young Craig	Liberal	Harry Tichborne Davenport	Conservative
1885	constituency abolished	constituency abolished	constituency abolished	constituency abolished
