Region (year)	No. 1	No. 2	No. 3	No. 4	No. 5	No. 6	No. 7	No. 8	No. 9	No. 10
Alaska (2010)	William	James	Logan	Michael	Jacob	Ethan	Alexander	Elijah	Joshua	Liam
Alabama (2010)	William	James	John	Jacob	Jayden	Jackson	Noah	Elijah	Christopher	Ethan
Arizona (2010)	Jacob	Daniel	Anthony	Alexander	Angel	Michael	Jayden	Gabriel	Ethan	Aiden
Arkansas (2010)	William	Jacob	Elijah	James	Ethan	Jayden	Michael	Mason	Landon	Aiden
California (2010)	Jacob	Daniel	Anthony	Alexander	Angel	Ethan	Jayden	David	Andrew	Nathan
Colorado (2010)	Jacob	Alexander	Noah	William	Daniel	Liam	Elijah	Logan	Anthony	Gabriel
Connecticut (2010)	Michael	Alexander	Jacob	Matthew	Ryan	Jayden	William	Noah	Christopher	Ethan
Delaware (2010)	Michael	William	Alexander	James	Anthony	Mason	Jacob	Joshua	Gavin	Logan
District of Columbia (2010)	William	Alexander	Henry	John	Christopher	James	Anthony	Michael	Noah	Benjamin
Florida (2010)	Jayden	Jacob	Michael	Anthony	Alexander	Ethan	Joshua	Daniel	Matthew	Gabriel
Georgia (2010)	William	Jacob	Jayden	Joshua	Elijah	Christopher	James	Ethan	Michael	Jackson
Hawaii (2010)	Noah	Jacob	Elijah	Joshua	Ethan	Aiden	Logan	Caleb	Dylan	Gabriel
Idaho (2010)	William	Samuel	Logan	Ethan	Jacob	Aiden	Mason	Alexander	James	Noah
Illinois (2010)	Alexander	Jacob	Michael	Daniel	Anthony	Ethan	Jayden	William	Joshua	Logan
Indiana (2010)	Elijah	Jacob	Ethan	Mason	Noah	Aiden	Andrew	Logan	Alexander	Landon
Iowa (2010)	Noah	Mason	Ethan	Aiden	Jacob	Landon	William	Jackson	Carter	Logan
Kansas (2010)	Jacob	William	Alexander	Ethan	Elijah	Gabriel	Mason	Noah	Landon	Jackson
Kentucky (2010)	William	Jacob	Brayden	Noah	James	Mason	Landon	Jackson	Ethan	Aiden
Louisiana (2010)	Jayden	Ethan	Mason	Noah	Michael	Aiden	Landon	Joshua	Jacob	Brayden
Maine (2010)	Owen	Aiden	Liam	Noah	Logan	Mason	Wyatt	Jacob	Ethan	Hunter
Maryland (2010)	Jacob	Joshua	Michael	Noah	Ethan	Mason	Ryan	Daniel	Alexander	Jayden
Massachusetts (2010)	Ryan	Benjamin	William	Jacob	Michael	Matthew	James	Alexander	Andrew	Anthony
Michigan (2010)	Jacob	Ethan	Noah	Logan	Aiden	Michael	Alexander	Mason	Andrew	William
Minnesota (2010)	Mason	Ethan	William	Owen	Logan	Jack	Samuel	Jacob	Jackson	Carter
Mississippi (2010)	William	James	Jayden	John	Elijah	Jacob	Christopher	Aiden	Michael	Joshua
Missouri (2010)	Jacob	Mason	William	Logan	Jackson	Elijah	Michael	Noah	Landon	Ethan
Montana (2010)	Wyatt	Samuel	Ethan	Jacob	Logan	Mason	Noah	James	William	Caleb
Nebraska (2010)	Jacob	Mason	Noah	William	Jackson	Owen	Carter	Alexander	Elijah	Ethan
Nevada (2010)	Jacob	Jayden	Anthony	Daniel	Alexander	David	Logan	Michael	Angel	Aiden
New Hampshire (2010)	Logan	Mason	Owen	Jacob	Liam	Benjamin	William	Ethan	Michael	Tyler
New Jersey (2010)	Michael	Ryan	Jayden	Anthony	Joseph	Daniel	Matthew	Jacob	Christopher	Nicholas
New Mexico (2010)	Elijah	Jacob	Aiden	Michael	Noah	Joshua	Gabriel	Daniel	Anthony	Jayden
New York (2010)	Michael	Jayden	Jacob	Ethan	Daniel	Joseph	Anthony	Matthew	Ryan	Alexander
North Carolina (2010)	William	Jacob	Elijah	Noah	Jayden	Joshua	Ethan	James	Alexander	Jackson
North Dakota (2010)	Mason	Jacob	Logan	Noah	Aiden	Ethan	Liam	Carter	Bentley	Brayden
Ohio (2010)	Jacob	Mason	Logan	Noah	Ethan	Aiden	William	Michael	Carter	Landon
Oklahoma (2010)	Jacob	Aiden	Elijah	Ethan	Noah	Mason	William	James	Logan	Michael
Oregon (2010)	Jacob	Logan	Benjamin	Noah	Mason	Samuel	Ethan	Alexander	William	Wyatt
Pennsylvania (2010)	Michael	Jacob	Mason	Logan	Ryan	Ethan	Aiden	Anthony	Joseph	Noah
Rhode Island (2010)	Logan	Michael	Alexander	Jayden	Jacob	Benjamin	Mason	Daniel	Ethan	Joseph
South Carolina (2010)	William	James	Jacob	Jayden	Michael	Christopher	Joshua	Elijah	John	Noah
South Dakota (2010)	Jacob	Mason	Noah	Carter	Landon	Aiden	Benjamin	Gavin	Owen	Ethan
Tennessee (2010)	William	Jacob	Elijah	James	Noah	Ethan	Jackson	Aiden	Joshua	Christopher
Texas (2010)	Jacob	Jose	Jayden	Angel	David	Daniel	Christopher	Ethan	Anthony	Joshua
Utah (2010)	William	Mason	Ethan	Jacob	James	Samuel	Isaac	Logan	Jack	Benjamin
Vermont (2010)	Logan	Wyatt	William	Connor	Liam	Mason	Carter	Noah	Owen	Aiden
Virginia (2010)	William	Jacob	Michael	Alexander	Ethan	Noah	James	Joshua	Christopher	Aiden
Washington (2010)	Jacob	Alexander	Ethan	Daniel	William	Logan	Benjamin	Noah	Liam	Elijah
West Virginia (2010)	Jacob	Mason	Noah	Logan	Landon	Brayden	Aiden	James	Hunter	Ethan
Wisconsin (2010)	Mason	Ethan	Jacob	Logan	Noah	Jackson	Carter	Owen	Alexander	William
Wyoming (2010)	James	Logan	Wyatt	Gabriel	Samuel	Ethan	Mason	Noah	Austin	Carter
