Name	Japanese	Population ( 2012 )	Date of designation	Region	Prefecture
Akashi	明石	290,927	2002-04-01	Kansai	Hyōgo
Atsugi	厚木	224,181	2002-04-01	Kantō	Kanagawa
Chigasaki	茅ヶ崎	236,222	2003-04-01	Kantō	Kanagawa
Fuji	富士	253,455	2001-04-01	Chūbu	Shizuoka
Fukui	福井	266,612	2000-04-01	Chūbu	Fukui
Hachinohe	八戸	236,390	2001-04-01	Tōhoku	Aomori
Hirakata	枚方	407,270	2001-04-01	Kansai	Osaka
Hiratsuka	平塚	260,061	2001-04-01	Kantō	Kanagawa
Ibaraki	茨木	276,474	2001-04-01	Kansai	Osaka
Ichinomiya	一宮	378,996	2001-04-01	Chūbu	Aichi
Isesaki	伊勢崎	207,253	2007-04-01	Kantō	Gunma
Jōetsu	上越	202,366	2007-04-01	Chūbu	Niigata
Kakogawa	加古川	268,175	2002-04-01	Kansai	Hyōgo
Kasugai	春日井	306,573	2002-04-01	Chūbu	Aichi
Kasukabe	春日部	236,976	2008-04-01	Kantō	Saitama
Kawaguchi	川口	561,788	2001-04-01	Kantō	Saitama
Kishiwada	岸和田	198,615	2002-04-01	Kansai	Osaka
Kōfu	甲府	197,318	2000-04-01	Chūbu	Yamanashi
Koshigaya	越谷	328,079	2003-04-01	Kantō	Saitama
Kumagaya	熊谷	201,814	2009-04-01	Kantō	Saitama
Kure	呉	236,595	2000-04-01	Chūgoku	Hiroshima
Matsue	松江	208,160	2012-04-01	Chūgoku	Shimane
Matsumoto	松本	243,431	2000-04-01	Chūbu	Nagano
Mito	水戸	269,162	2001-04-01	Kantō	Ibaraki
Nagaoka	長岡	281,101	2007-04-01	Chūbu	Niigata
Neyagawa	寝屋川	238,819	2001-04-01	Kansai	Osaka
Numazu	沼津	199,883	2000-04-01	Chūbu	Shizuoka
Odawara	小田原	197,413	2000-04-01	Kantō	Kanagawa
Ōta	太田	217,107	2007-04-01	Kantō	Gunma
Sasebo	佐世保	259,676	2001-04-01	Kyushu	Nagasaki
Sōka	草加	244,851	2004-04-01	Kantō	Saitama
Suita	吹田	357,917	2001-04-01	Kansai	Osaka
Takarazuka	宝塚	227,617	2003-04-01	Kansai	Hyōgo
Tokorozawa	所沢	342,321	2002-04-01	Kantō	Saitama
Tottori	鳥取	196,538	2005-04-01	Chūgoku	Tottori
Tsukuba	つくば	216,221	2007-04-01	Kantō	Ibaraki
Yamagata	山形	254,519	2001-04-01	Tōhoku	Yamagata
Yamato	大和	230,357	2000-04-01	Kantō	Kanagawa
Yao	八尾	270,735	2001-04-01	Kansai	Osaka
Yokkaichi	四日市	307,599	2000-04-01	Kansai	Mie
