Year	Entrant	Chassis	Engine	Points
1974	Beta Tools / March Engineering	March 741	Cosworth V8	1
1975	Beta Team March	March 741	Cosworth V8	6.5
1975	Beta Team March	March 751	Cosworth V8	6.5
1976	Beta Team March	March 761	Cosworth V8	1
1977	Beta Team Surtees	Surtees TS19	Cosworth V8	6
1978	Beta Team Surtees	Surtees TS19	Cosworth V8	1
1978	Beta Team Surtees	Surtees TS20	Cosworth V8	1
1979	Autodelta	Alfa Romeo 177	Alfa Romeo Flat-12	0
1979	Autodelta	Alfa Romeo 179	Alfa Romeo Flat-12	0
1980	Marlboro Team Alfa Romeo	Alfa Romeo 179	Alfa Romeo V12	0
