Rank	Heat	Athlete	Country	Time
1	4	Kerron Stewart	Jamaica	10.98
2	2	Sherone Simpson	Jamaica	11.02
3	1	Shelly-Ann Fraser	Jamaica	11.06
4	4	Lauryn Williams	United States	11.07
5	2	Muna Lee	United States	11.08
6	4	Kim Gevaert	Belgium	11.10
7	1	Yevgeniya Polyakova	Russia	11.13
8	4	Yulia Nestsiarenka	Belarus	11.14
9	2	Chandra Sturrup	Bahamas	11.16
10	1	Jeanette Kwakye	Great Britain	11.18
11	3	Debbie Ferguson	Bahamas	11.21
12	3	Oludamola Osayomi	Nigeria	11.28
13	5	Torri Edwards	United States	11.31
14	3	Vida Anim	Ghana	11.32
15	5	Lina Grincikaite	Lithuania	11.33
16	3	Christine Arron	France	11.36
16	4	Tahesia Harrigan	British Virgin Islands	11.36
18	2	Montell Douglas	Great Britain	11.38
19	2	Virgen Benavides	Cuba	11.40
19	5	Ivet Lalova	Bulgaria	11.40
21	3	Daria Korczyńska	Poland	11.41
22	2	Kelly-Ann Baptiste	Trinidad and Tobago	11.42
23	1	Virgil Hodge	Saint Kitts and Nevis	11.45
23	5	Ezinne Okparaebo	Norway	11.45
25	4	Semoy Hackett	Trinidad and Tobago	11.46
26	4	Guzel Khubbieva	Uzbekistan	11.49
26	3	Natalia Rusakova	Russia	11.49
28	2	Natalya Murinovich	Russia	11.51
29	1	LaVerne Jones-Ferrette	Virgin Islands	11.55
29	2	Nataliya Pohrebnyak	Ukraine	11.55
31	5	Barbara Pierre	Haiti	11.56
32	5	Anita Pistone	Italy	11.56
33	5	Ruddy Zang Milama	Gabon	11.59
34	1	Myriam Léonie Mani	Cameroon	11.65
35	3	Yomara Hinestroza	Colombia	11.66
35	1	Ene Franca Idoko	Nigeria	11.66
37	1	Jade Bailey	Barbados	11.67
37	4	Lucimar Aparecida de Moura	Brazil	11.67
39	3	Vu Thi Huong	Vietnam	11.70
40	5	Sasha Springer	Trinidad and Tobago	11.71
