Position	Drivers	Group	Class	Laps
1	Don O'Sullivan, Frank Matich	Sports Cars	SC 3001-5000cc	276
2	Peter Briggs, Doug Mould	Sports Cars	SC 1100-1500cc	276
3	Fritz Kahout, Stan Starcevich	Improved Production	IP 1501-2000cc	275
4	Dick Murphy, John Glasson	Sports Cars	SC 3001-5000cc	253
5	Noel Mitchell, Owen Stringer	Sports Cars	SC 1100-1500cc	247
6	Rick Lisle, Neville Grigsby	Improved Production	IP 1101-1500cc	245
7	Don Hall, Brian Davies	Sports Cars	SC 1100-1500cc	244
8	Peter Bullen, Barry Arnold	Sports Cars	SC 3001-5000cc	235
9	David Rockford, Colin Hall	Series Production	SP 3001-5000cc	234
10	Dick Roberts, Rod Donovan	Improved Production	IP Over 3000cc	231
11	Jeff Dunkerton, Chris Royston	Series Production	SP Under 1100cc	229
12	Mal McKiggan, George Cole	Series Production	SP Under 1100cc	229
13	Warran Matthews, Bob Wilkie	Sports Cars	SC 1101-1500cc	217
14	Manfred Keune, Rod Waller	Sports Cars	SC Under 1100cc	209
15	Bill Lee, Bill Downey	Improved Production	IP 2001-3000cc	206
16	Dave Watkins, Graeme Jefferson	Series Production	SP 1101-1500cc	205
NC	Robert Elsbury, Ian Wilkie	Improved Production	IP 3001-5000cc	183
NC	Les Verco, Roy Prout	Sports Cars	SC 2001-3000cc	167
NC	Jack Kennedy, Bernie Zampatti	Sports Cars	SC 2001-3000cc	149
NC	John Evans, Barry Coleman	Improved Production	IP 1101-1500cc	137
NC	Graeme Ibbotson, Chris Henn	Sports Cars	SC 1100-1500cc	120
NC	Rhod Lording, Barry Coleman	Sports Cars	SC 3001-5000cc	107
DNF	Jum Currie, Brian Thompson	Sports Cars	SC 3001-5000cc	222
DNF	Gordon Mitchell, Alan Richards	Sports Cars	SC Under 1100cc	222
DNF	John Bertina, Con Bertina	Sports Cars	SC 3001-5000cc	220
DNF	Jim Mullins, Howie Sangster	Improved Production	IP 1101-1500cc	184
DNF	Ron Bairstow, Jack Kennedy	Series Production	SP Under 1100cc	143
DNF	Leon Shenton, Jan Shenton	Improved Production	IP 1101-1500cc	141
DNF	Rod Collins, Mark Staniford, Peter Briggs	Sports Cars	SC 1100-1500cc	123
DNF	Wayne Negus, Terry Power	Sports Cars	SC Under 1100cc	121
DNF	Bob Webb, Bob Kingsbury	Sports Cars	SC 3001-5000cc	112
DNF	Robert Corbett, Trevor Lunt	Sports Cars	SC 2001-3000cc	106
DNF	Stan Starcevich, Stuart Kostera	Sports Cars	SC 3001-5000cc	94
DNF	Ken Glasgow, Tom Dines	Sports Cars	SC Under 1100cc	73
DNF	Bob Biltoft, Rod Mitchell	Sports Cars	SC 2001-3000cc	37
DNF	Gordon Stephenson, Neville Cooper	Improved Production	IP 1501-2000cc	31
DNF	Peter Dover, Ray Johnson	Sports Cars	SC 2001-3000cc	30
