Date	Series	Circuit	City / State	Winner	Team
7 – 9 Mar	Super Touring GT-P Race	Albert Park	Melbourne , Victoria	Jim Richards	Volvo Cars Australia
7 – 9 Mar	TAC V8 Supercar Showdown	Albert Park	Melbourne , Victoria	Russell Ingall	Castrol Perkins Racing
15 Mar	ATCC Round 1	Calder Park Raceway	Melbourne , Victoria	Wayne Gardner	Wayne Gardner Racing
5 – 6 Apr	Hog's Breath Cafe V8 Supercar Challenge	Surfers Paradise street circuit	Surfers Paradise , Queensland	Russell Ingall	Castrol Perkins Racing
13 Apr	ATCC Round 2	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	Russell Ingall	Castrol Perkins Racing
27 Apr	ATCC Round 3	Sandown International Raceway	Melbourne , Victoria	Glenn Seton	Glenn Seton Racing
4 May	ATCC Round 4	Symmons Plains Raceway	Launceston , Tasmania	Greg Murphy	Holden Racing Team
4 May	ASTC Round 1	Lakeside International Raceway	Brisbane , Queensland	Paul Morris	Paul Morris Motorsport
18 May	ATCC Round 5	Winton Motor Raceway	Benalla , Victoria	Russell Ingall	Castrol Perkins Racing
25 May	ATCC Round 6	Eastern Creek Raceway	Sydney , New South Wales	Glenn Seton	Glenn Seton Racing
1 Jun	ASTC Round 2	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	Paul Morris	Paul Morris Motorsport
15 Jun	ATCC Round 7	Lakeside International Raceway	Brisbane , Queensland	John Bowe	Dick Johnson Racing
22 Jun	ASTC Round 3	Calder Park Raceway	Melbourne , Victoria	Geoff Brabham	Paul Morris Motorsport
22 Jun	AMSCAR Round 1	Eastern Creek Raceway	Sydney , New South Wales	Allan McCarthy	West Coast Racing
6 Jul	ATCC Round 8	Barbagallo Raceway	Perth , Western Australia	Peter Brock	Holden Racing Team
13 Jul	ATCC Round 9	Mallala Motor Sport Park	Adelaide , South Australia	Greg Murphy	Holden Racing Team
20 Jul	ASTC Round 4	Amaroo Park	Sydney , New South Wales	Brad Jones	Brad Jones Racing
20 Jul	AMSCAR Round 2	Amaroo Park	Sydney , New South Wales	Mal Rose	Mal Rose Racing
3 Aug	ATCC Round 10	Oran Park Raceway	Sydney , New South Wales	Greg Murphy	Holden Racing Team
10 Aug	ASTC Round 5	Winton Motor Raceway	Benalla , Victoria	Paul Morris	Paul Morris Motorsport
24 Aug	ASTC Round 6	Mallala Motor Sport Park	Adelaide , South Australia	Cameron McConville	Brad Jones Racing
31 Aug	AMSCAR Round 3	Eastern Creek Raceway	Sydney , New South Wales	Mal Rose	Mal Rose Racing
14 Sep	Tickford Sandown 500	Sandown International Raceway	Melbourne , Victoria	Greg Murphy Craig Lowndes	Holden Racing Team
5 Oct	AMP Bathurst 1000	Mount Panorama Circuit	Bathurst , New South Wales	Geoff Brabham David Brabham	Paul Morris Motorsport
19 Oct	Primus 1000 Classic	Mount Panorama Circuit	Bathurst , New South Wales	Russell Ingall Larry Perkins	Castrol Perkins Racing
26 Oct	ASTC Round 7	Lakeside International Raceway	Brisbane , Queensland	Paul Morris	Paul Morris Motorsport
9 Nov	ASTC Round 8	Amaroo Park	Sydney , New South Wales	Geoff Brabham	Paul Morris Motorsport
7 Dec	AMSCAR Round 4	Eastern Creek Raceway	Sydney , New South Wales	Michael Donaher	Clive Wiseman Racing
