Player	Played	Legs Won	Legs Lost	100+	140+	180s	High Checkout	3-dart Average
Raymond van Barneveld	4	22	18	47	32	14	120	102.82
Adrian Lewis	4	21	19	60	25	6	150	96.44
Dennis Priestley	3	11	14	42	11	7	88	95.76
Chris Mason	3	7	15	33	6	4	157	86.62
Andy Hamilton	7	59	54	127	76	33	145	95.61
Vincent van der Voort	3	10	11	22	20	3	96	92.16
Terry Jenkins	5	30	26	70	52	10	140	93.28
Charles Losper	3	6	15	25	14	1	68	85.83
James Wade	4	22	16	49	31	10	170	98.65
Phill Nixon	3	13	10	31	13	4	116	83.49
Pat Orreal	4	20	20	40	28	7	115	85.98
Niels de Ruiter	3	2	15	20	6	1	98	79.15
Jelle Klaasen	5	27	28	84	33	9	125	90.61
Kevin McDine	6	45	31	114	45	23	161	97.68
Shaun Greatbatch	3	7	11	25	14	3	164	90.74
Peter Manley	3	8	14	34	15	2	76	87.40
Phil Taylor	7	66	39	128	89	29	153	99.25
Wayne Mardle	3	8	12	26	7	3	65	86.57
Colin Lloyd	4	18	19	39	33	7	150	94.60
Ronnie Baxter	3	7	15	25	13	4	134	86.48
Gary Mawson	4	16	20	46	25	5	136	87.87
Andy Jenkins	3	8	11	25	15	2	141	90.84
John Part	5	29	26	66	28	9	126	92.06
Mark Webster	3	10	11	25	17	2	117	95.81
Kevin Painter	5	31	23	66	33	19	120	92.82
Gary Anderson	6	42	33	99	67	22	158	97.50
Barrie Bates	3	5	11	26	10	0	123	85.47
Wayne Jones	3	7	14	27	21	2	81	89.57
Roland Scholten	4	22	14	56	28	10	144	102.16
Mervyn King	4	20	20	57	30	8	78	96.14
Michael van Gerwen	3	8	14	25	19	6	76	92.04
