Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	FLT Apps	FLT Goals	Total Apps	Total Goals
Junior Bent	MF	6 (1)	1	0	0	1	0	1	0	8 (1)	1
Aidy Boothroyd	DF	9 (1)	0	0	0	0	0	0	0	9 (1)	0
Ian Bray	DF	13 (1)	0	2	0	0	0	1	0	16 (1)	0
Mick Byrne	FW	17 (2)	4	0	0	0	0	0	0	17 (2)	4
Mike Cecere	FW	22 (1)	4	3 (1)	3	4	1	1	0	30 (2)	8
Simon Charlton	DF	1 (2)	0	0	0	0	0	0	0	1 (2)	0
Kevin Donovan	MF	1	0	0	0	0	0	0	0	1	0
Andy Duggan	DF	15	1	0	0	0	0	2	1	17	2
Keith Edwards	MF	6 (4)	4	0	0	0	0	0	0	6 (4)	4
Steve Hardwick	GK	21	0	1	0	4	0	1	0	27	0
Chris Hutchings	DF	46	5	4	0	4	0	3	0	57	5
John Kelly	MF	9 (1)	1	0	0	0	0	0	0	9 (1)	1
Dudley Lewis	DF	28	0	3	0	4	0	2	0	37	0
Peter Maguire	FW	0 (3)	0	0	0	0	0	0	0	0 (3)	0
Chris Marsden	MF	29 (3)	2	4	0	3 (1)	0	3	0	39 (4)	2
Lee Martin	GK	25	0	3	0	0	0	2	0	30	0
Craig Maskell	FW	40 (1)	15	4	2	4	2	3	2	51 (1)	21
Andy May	MF	40 (1)	0	3	0	2	0	3	0	48 (1)	0
Graham Mitchell	DF	35 (2)	1	4	0	2 (1)	0	1	0	42 (3)	1
Brendan O'Connell	FW	11	1	0	0	0	0	0	0	11	1
Ken O'Doherty	DF	17 (1)	0	1	0	4	1	1	0	23 (1)	1
Iffy Onuora	FW	3 (17)	3	2 (1)	0	0 (3)	1	1 (1)	1	6 (22)	5
Kieran O'Regan	MF	31 (6)	3	3 (1)	0	2 (1)	0	2 (1)	0	38 (9)	3
Mark Smith	Fw	39 (5)	7	4	1	3	0	3	1	49 (5)	9
Simon Trevitt	DF	7	0	0	0	3	0	0	0	10	0
Robert Wilson	MF	27 (1)	6	3	0	4	2	3	0	37 (1)	8
Peter Withe	FW	8 (4)	1	0 (1)	0	2	0	0 (1)	0	10 (6)	1
