Tie no	Home team	Score	Away team	Attendance
1	Ashington	2–1	Ossett Albion	345
2	Team Northumbria	0–3	Bedlington Terriers	83
3	Armthorpe Welfare	1–1	Crook Town	40
4	Wakefield	2–0	Stokesley SC	72
5	South Shields	0–4	Selby Town	201
6	Sunderland Nissan	1–2	Newcastle Blue Star	88
7	West Allotment Celtic	1–3	Shildon	100
8	West Auckland Town	0–5	Durham City	146
9	Bishop Auckland F.C.	3–3	Consett	185
10	Goole	0–4	Newcastle Benfield	181
11	Billingham Town	0–4	Whitley Bay	178
12	FC Halifax Town	0–0	Silsden	833
13	Whickham	0–2	Pickering Town	135
14	Jarrow Roofing Boldon CA	2–2	Bridlington Town	65
15	Garforth Town	1–0	Tow Law Town	145
16	Billingham Synthonia	0–2	Ryton	96
17	Dunston Federation	1–0	Harrogate Railway Athletic	172
18	Newcastle Town	0–1	Skelmersdale United	117
19	Oldham Town	1–1	Rossendale United	75
20	Bootle	1–0	Padiham	80
21	Trafford	2–4	Stocksbridge Park Steels	147
22	Congleton Town	1–1	Squires Gate	136
23	Penrith	1–3	Clitheroe	153
24	Bottesford Town	2–2	Flixton	72
25	Lancaster City	1–2	Salford City	160
26	Norton United	1–3	Leek Town	235
27	Mossley	3–1	Ramsbottom United	202
28	Formby	0–5	Colne	59
29	Brigg Town	2–2	Maine Road	92
30	Radcliffe Borough	1–2	Winterton Rangers	137
31	Warrington Town	0–0	Nostell Miners Welfare	132
32	Bacup Borough	3–1	St Helens Town	58
33	Chorley	0–1	Atherton Laburnum Rovers	208
34	AFC Fylde	1–1	Sheffield	291
35	Woodley Sports	0–0	Brodsworth Welfare	52
36	Curzon Ashton	4–0	Runcorn Linnets	138
37	Bamber Bridge	4–3	Colwyn Bay	151
38	Hinckley Downes	0–4	Gornal Athletic	102
39	Atherstone Town	1–0	Quorn	198
40	Malvern Town	1–3	Coalville Town	92
41	Oldbury United	0–1	Friar Lane & Epworth	67
42	Long Eaton United	1–0	Rushall Olympic	72
43	Glapwell	2–1	Market Drayton Town	104
44	Ellesmere Rangers	2–1	Bromsgrove Rovers	179
45	Loughborough Dynamo	0–1	Tipton Town	125
46	Shirebrook Town	1–3	Studley	93
47	Stone Dominoes	1–2	Rainworth Miners Welfare	53
48	Nuneaton Town	1–0	Gedling Town	549
49	Westfields	2–4	Stratford Town	77
50	Chasetown	5–0	Carlton Town	452
51	Kidsgrove Athletic	3–0	Pilkington XXX	106
52	Highgate United	1–4	Romulus	90
53	Sutton Coldfield Town	2–3	Cradley Town	92
54	Gresley Rovers	4–1	Alvechurch	247
55	Shepshed Dynamo	3–2	Mickleover Sports	167
56	Retford United	3–1	Barrow Town	205
57	Glossop North End	1–2	Belper Town	247
58	Meir KA	1–0	Nuneaton Griff	77
59	Lye Town	1–2	Southam United	133
60	Leamington	4–0	Staveley Miners Welfare	575
61	Willenhall Town	0–0	Bedworth United	106
62	Racing Club Warwick	0–2	Stourport Swifts	86
63	Coleshill Town	2–3	Shifnal Town	91
64	Bromyard Town	1–5	Barwell	57
65	Spalding United	2–3	Yaxley	153
66	Soham Town Rangers	0–2	Needham Market	167
67	Leiston	3–1	March Town United	170
68	Wisbech Town	2–2	Mildenhall Town	208
69	Fakenham Town	0–4	Boston Town	76
70	Grantham Town	4–1	Woodbridge Town	187
71	Walsham-le-Willows	1–2	Sleaford Town	112
72	Dereham Town	2–2	Stamford	166
73	AFC Sudbury	1–1	Lowestoft Town	309
74	Ipswich Wanderers	1–1	Cornard United	69
75	Great Yarmouth Town	2–2	Wroxham	190
76	St Neots Town	2–3	Lincoln United	250
77	Deeping Rangers	1–2	Bury Town	137
78	Brentwood Town	2–1	Erith Town	108
79	Dulwich Hamlet	1–1	Broxbourne Borough V&E	164
80	Great Wakering Rovers	4–0	Bedfont Green	78
81	Langford	0–1	Arlesey Town	161
82	Oxhey Jets	5–2	Ilford	93
83	Northwood	0–2	Metropolitan Police	131
