Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	13-14-1	Bae Young Kwon	Decision	Road FC 12	2	5:00	Gwandong, South Korea
Loss	13-13-1	Tatsuya Kawajiri	Decision (unanimous)	Dream 18	3	5:00	Tokyo, Japan
Loss	13-12-1	Manny Gamburyan	Decision (unanimous)	UFC on Fox: Shogun vs. Vera	3	5:00	Los Angeles, California , United States
Loss	13-11-1	Yuri Alcantara	Decision (unanimous)	UFC 142	3	5:00	Rio de Janeiro , Brazil
Win	13-10-1	Jason Young	Decision (unanimous)	UFC 138	3	5:00	Birmingham , England
Loss	12-10-1	Darren Elkins	Decision (unanimous)	UFC 131	3	5:00	Vancouver, British Columbia , Canada
Loss	12-9-1	Chad Mendes	Decision (unanimous)	UFC 126	3	5:00	Las Vegas, Nevada , United States
Win	12-8-1	Cole Escovedo	Submission (inverted armbar)	Dream 16	1	2:30	Nagoya , Japan
Win	11-8-1	Young Sam Jung	Submission (guillotine choke)	Dream 15	1	7:31	Saitama, Saitama , Japan
Win	10-8-1	Micah Miller	Decision (unanimous)	Astra: Yoshida's Farewell	3	5:00	Tokyo , Japan
Win	9-8-1	Hiroyuki Takaya	TKO (punches)	Dynamite!! 2009	1	2:54	Saitama, Saitama , Japan
Win	8-8-1	Hatsu Hioki	Decision (split)	World Victory Road Presents: Sengoku 11	3	5:00	Tokyo , Japan
Loss	7-8-1	Masanori Kanehara	Decision (split)	World Victory Road Presents: Sengoku 9	3	5:00	Saitama, Saitama , Japan
Win	7-7-1	Marlon Sandro	Decision (split)	World Victory Road Presents: Sengoku 9	3	5:00	Saitama, Saitama , Japan
Win	6-7-1	Nam Phan	TKO (punches)	World Victory Road Presents: Sengoku 8	1	4:52	Tokyo , Japan
Win	5-7-1	LC Davis	Decision (unanimous)	World Victory Road Presents: Sengoku 7	3	5:00	Tokyo , Japan
Draw	4-7-1	Shintaro Ishiwatari	Draw	Shooto Tradition 5	2	5:00	Tokyo , Japan
Loss	4-7	Jung Chan-Sung	Decision (unanimous)	Deep: Gladiator	2	5:00	Okayama , Japan
Loss	4-6	Thiago Tavares	Decision (unanimous)	UFC Fight Night: Swick vs Burkman	3	5:00	Las Vegas, Nevada , United States
Loss	4-5	Matt Wiman	Decision (unanimous)	UFC 76	3	5:00	Anaheim, California , United States
Win	4-4	Naoki Matsushita	TKO (punches)	Deep: 29 Impact	2	1:17	Tokyo , Japan
Win	3-4	Woo Jin Eoh	TKO (punch)	Deep: 28 Impact	1	4:25	Tokyo , Japan
Win	2-4	Takaaki Aoki	Decision (unanimous)	Deep: clubDeep Tokyo: Future King Tournament 2006	2	5:00	Tokyo , Japan
Loss	1-4	Kazunori Yokota	Decision (majority)	Deep: 26 Impact	3	5:00	Tokyo , Japan
Loss	1-3	Yoshihiro Tomioka	Decision (unanimous)	Deep: clubDeep Toyama: Barbarian Festival 4	3	5:00	Toyama, Toyama , Japan
Win	1-2	Jason Chambers	Decision (split)	Icon Sport: Lawler vs. Niko 2	3	5:00	Honolulu, Hawaii , United States
Loss	0-2	Gesias Cavalcante	KO (punches)	Cage Rage 14	1	0:49	London , England
Loss	0-1	Aaron Riley	KO (head kick)	Pride Bushido 7	1	6:00	Tokyo , Japan
