Rank	Company	Country	Industry	Revenue in USD
1	Royal Dutch Shell	Netherlands †	Petroleum	$481.7 billion
2	Walmart	United States	Retail	$469.2 billion
3	ExxonMobil	United States	Petroleum	$449.9 billion
4	Sinopec	China	Petroleum	$428.2 billion
5	China National Petroleum Corporation	China	Petroleum	$408.6 billion
6	BP	United Kingdom	Petroleum	$388.3 billion
7	State Grid Corporation of China	China	Power	$298.4 billion
8	Toyota	Japan	Automobiles	$265.7 billion
9	Volkswagen	Germany	Automobiles	$247.6 billion
10	Total	France	Petroleum	$234.3 billion
