State	Type	Name	Title	Royal house	From
Cai	Sovereign	Yi	Marquis	Ji	837 BC
Cai	Sovereign	Xi	Marquis	Ji	809 BC
Cao	Sovereign	Dai	Count	—	826 BC
Chen	Sovereign	Li	Duke	—	831 BC
Chu	Sovereign	Xiong Xun	Viscount	Mi	821 BC
Jin	Sovereign	Mu	Marquis	Ji	811 BC
Lu	Sovereign	Yi	Duke	Ji	815 BC
Lu	Sovereign	Boyu	Ruler	Ji	806 BC
Qi	Sovereign	Wen	Duke	Jiang	815 BC
Qi	Sovereign	Cheng	Duke	Jiang	803 BC
Qin	Sovereign	Zhuang	Duke	Ying	822 BC
Song	Sovereign	Hui	Duke	—	830 BC
Song	Sovereign	Ai	Duke	—	800 BC
Wey	Sovereign	Wu	Duke	—	813 BC
Yan	Sovereign	Li	Marquis	—	826 BC
Zheng	Sovereign	Huan	Duke	—	806 BC
