Date	Visitor	Score	Home	Record
December 1	Chicago	1 – 3	Detroit	3–2–1
December 4	NY Rangers	3 – 1	Detroit	3–3–1
December 8	NY Americans	1 – 2	Detroit	4–3–1
December 10	Detroit	4 – 1	Mtl. Maroons	5–3–1
December 11	Boston	2 – 1	Detroit	5–4–1
December 13	Detroit	1 – 6	Mtl. Canadiens	5–5–1
December 15	Detroit	2 – 1	NY Rangers	6–5–1
December 17	Detroit	1 – 0	Toronto	7–5–1
December 18	Pittsburgh	3 – 3	Detroit	7–5–2
December 27	Detroit	4 – 4	NY Americans	7–5–3
December 29	Mtl. Maroons	0 – 3	Detroit	8–5–3
December 31	Detroit	2 – 6	Ottawa	8–6–3
