Name	Actual version	System	Platform	License
SteEM	3.2	Atari ST E	Windows, Linux	Freeware
SainT	2.20	Atari ST /STE	Windows	Freeware
Gemulator	9.0	Atari ST	Windows	Commercial (free)
Hatari	1.6.2	Atari ST /STE, Atari TT , Atari Falcon	Cross-platform	GPL
PacifiST	0.49b	Atari ST	DOS, Windows	Giftware
STonX	0.6.7.6	Atari ST	Unix, DOS, Windows	GPL
WinSTon	0.1r2	Atari ST	Windows	Freeware
ARAnyM	0.9.13	Atari ST , Atari TT , Atari Falcon	Cross-platform	GPL
MESS	0.147	Various computers and consoles	Cross-platform	Custom
EstyJs	n/a	Atari ST	Cross-platform	[Open Source]
