English name	Bulgarian name	Bulgarian name ( Transliteration )	Old Bulgarian Names	Old Bulgarian name (Transliteration)	Old Bulgarian name - Meaning
January	Януари	Yanuari	Просинец, Колог, Коложег, Голям сечко	Prosinets, Kolog, Kolozheg, Golyam sechko	Month of burning trunks
February	Февруари	Fevruari	Съчен, Сечко, Малък сечко	Sachen, Sechko, Malak sechko	Month of dreadful ice
March	Март	Mart	Сух	Suh	Dry month
April	Април	April	Брязок	Bryazok	Colorful month
May	Май	May	Тръвен	Traven	Grass month
June	Юни	Yuni	Изок, Червеник	Izok, Chervenik	Red month
July	Юли	Yuli	Чръвенъ, жетар, жътвар, сърпен	Chraven, Zhetar, Zhatvar, Sarpen	Harvesting month
August	Август	Avgust	Орач, Зарев	Orach, Zarev	Tillage month
September	Септември	Septemvri	Руен, Руй	Ruen, Ruy	Bounteous month
October	Октомври	Oktomvri	Листопад	Listopad	Month of falling leaves
November	Ноември	Noemvri	Груден	Gruden	Month of tubers
December	Декември	Dekemvri	Студен	Studen	Cold month
