Round	Circuit	Date	Pole Position	Fastest Lap	Winning driver	Winning team
1	Brands Hatch	1 April	James Courtney	James Courtney	Robbie Kerr	Alan Docking Racing
2	Brands Hatch	1 April	James Courtney	James Courtney	Bruce Jouanny	Promatecme UK
3	Donington Park	14 April	James Courtney	James Courtney	Michael Keohane	Carlin Motorsport
4	Donington Park	14 April	James Courtney	James Courtney	Michael Keohane	Carlin Motorsport
5	Silverstone	5 May	Fabio Carbone	James Courtney	Mark Taylor	Manor Motorsport
6	Silverstone	5 May	James Courtney	James Courtney	Robbie Kerr	Alan Docking Racing
7	Knockhill	12 May	James Courtney	James Courtney	James Courtney	Carlin Motorsport
8	Knockhill	12 May	James Courtney	James Courtney	James Courtney	Carlin Motorsport
9	Croft	25 May	James Courtney	James Courtney	James Courtney	Carlin Motorsport
10	Croft	26 May	Round cancelled	Round cancelled	Round cancelled	Round cancelled
11	Silverstone	2 June	James Courtney	Robbie Kerr	Robbie Kerr	Alan Docking Racing
12	Silverstone	3 June	Mark Taylor	James Courtney	James Courtney	Carlin Motorsport
13	Castle Combe	22 June	James Courtney	James Courtney	Robbie Kerr	Carlin Motorsport
14	Castle Combe	23 June	James Courtney	James Courtney	Alan van der Merwe	Carlin Motorsport
15	Brands Hatch	30 June	Robbie Kerr	Robbie Kerr	Robbie Kerr	Alan Docking Racing
16	Brands Hatch	30 June	Robbie Kerr	Robbie Kerr	Robbie Kerr	Alan Docking Racing
17	Rockingham	21 July	Heikki Kovalainen	Derek Hayes	Shinya Hosokawa	Carlin Motorsport
18	Rockingham	21 July	Derek Hayes	Robbie Kerr	Robbie Kerr	Alan Docking Racing
19	Oulton Park	18 August	Heikki Kovalainen	Robert Dahlgren	Heikki Kovalainen	Fortec Motorsport
20	Oulton Park	18 August	Robert Dahlgren	Clivio Piccione	James Courtney	Carlin Motorsport
21	Snetterton	31 August	Robbie Kerr	Robbie Kerr	Robbie Kerr	Alan Docking Racing
22	Snetterton	1 September	Robbie Kerr	Fabio Carbone	Heikki Kovalainen	Fortec Motorsport
10	Snetterton	1 September	James Courtney	Bruce Jouanny	Robbie Kerr	Alan Docking Racing
23	Thruxton	15 September	Bruce Jouanny	Heikki Kovalainen	Heikki Kovalainen	Fortec Motorsport
24	Thruxton	15 September	Bruce Jouanny	Bruce Jouanny	Heikki Kovalainen	Fortec Motorsport
25	Donington Park	22 September	Robbie Kerr	Heikki Kovalainen	Heikki Kovalainen	Fortec Motorsport
