Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position	Team(s)
1990	1	0	0	0	0	12.0	32.0	$2,625	104th	#10 Whitcomb Racing
1994	11	1	2	3	1	14.8	15.5	$91,120	32nd	#82 Ron Zock Racing
1995	5	0	0	2	0	13.7	23.4	$30,865	52nd	#82 Ron Zock Racing #50 Bobby Jones Racing
1996	12	0	0	3	0	23.2	21.3	$69,924	40th	#26 Champion Racing
1998	2	0	0	0	0	26.5	30.0	$9,547	87th	#92 Mac Martin Racing #61 Xpress Motorsports
1999	5	0	0	0	0	26.0	29.0	$45,645	70th	#61 Xpress Motorsports #89 NorthStar Motorsports
2001	4	0	0	0	0	35.8	30.8	$51,590	71st	#94 PF2 Motorsports
2002	8	0	0	0	0	36.2	31.4	$95,180	54th	#94 PF2 Motorsports #49 Jay Robinson Racing
2003	7	0	0	0	0	33.4	25.7	$135,655	62nd	#49/#39 Jay Robinson Racing
2004	30	0	0	0	0	36.2	31.7	$589,731	27th	#49 Jay Robinson Racing
2005	14	0	0	0	0	38.3	32.1	$284,867	50th	#28 Jay Robinson Racing
2006	5	0	0	0	0	37.2	35.2	$80,490	83rd	#49/#28 Jay Robinson Racing
2007	8	0	0	0	0	35.8	36.0	$136,142	78th	#28/#49 Jay Robinson Racing
2008	29	0	0	0	0	36.9	34.1	$679,500	31st	#52 Means Racing #4/#49 Jay Robinson Racing
2009	10	0	0	0	0	32.7	33.7	$187,352	67th	#41 Rick Ware Racing #73 Derrike Cope, Inc.
2010	13	0	0	0	0	34.4	36.2	$206,450	58th	#73 Stratus Racing Group
