Date	Tournament	Location	Winner	Score	1st prize ( $ )
Jan 9	Mercedes Championships	Hawaii	Tiger Woods (16)	276 (–16)	522,000
Jan 16	Sony Open in Hawaii	Hawaii	Paul Azinger (12)	261 (–19)	522,000
Jan 23	Bob Hope Chrysler Classic	California	Jesper Parnevik (3)	331 (–27)	540,000
Jan 30	Phoenix Open	Arizona	Tom Lehman (5)	270 (–14)	576,000
Feb 7	AT&T Pebble Beach National Pro-Am	California	Tiger Woods (17)	273 (–15)	720,000
Feb 13	Buick Invitational	California	Phil Mickelson (14)	270 (–18)	540,000
Feb 20	Nissan Open	California	Kirk Triplett (1)	272 (–12)	558,000
Feb 27	WGC-Andersen Consulting Match Play Championship	California	Darren Clarke (1)	4&3	1,000,000
Feb 27	Touchstone Energy Tucson Open	Arizona	Jim Carter (1)	269 (–19)	540,000
Mar 5	Doral - Ryder Open	Florida	Jim Furyk (5)	265 (–23)	540,000
Mar 12	Honda Classic	Florida	Dudley Hart (2)	269 (–19)	522,000
Mar 19	Bay Hill Invitational	Florida	Tiger Woods (18)	270 (–18)	540,000
Mar 27	The Players Championship	Florida	Hal Sutton (12)	278 (–10)	1,080,000
Apr 2	BellSouth Classic	Georgia	Phil Mickelson (15)	205 (–11)	504,000
Apr 9	Masters Tournament	Georgia	Vijay Singh (9)	278 (–10)	828,000
Apr 16	MCI Classic	South Carolina	Stewart Cink (2)	270 (–14)	540,000
Apr 23	Greater Greensboro Chrysler Classic	North Carolina	Hal Sutton (13)	274 (–14)	540,000
Apr 30	Shell Houston Open	Texas	Robert Allenby (1)	275 (–13)	504,000
May 7	Compaq Classic of New Orleans	Louisiana	Carlos Franco (3)	270 (–18)	612,000
May 14	GTE Byron Nelson Classic	Texas	Jesper Parnevik (4)	269 (–11)	720,000
May 21	MasterCard Colonial	Texas	Phil Mickelson (16)	268 (–12)	594,000
May 29	The Memorial Tournament	Ohio	Tiger Woods (19)	269 (–19)	558,000
Jun 4	Kemper Insurance Open	Maryland	Tom Scherrer (1)	271 (–13)	540,000
Jun 11	Buick Classic	New York	Dennis Paulson (1)	276 (–8)	540,000
Jun 18	U.S. Open	California	Tiger Woods (20)	272 (–12)	800,000
Jun 25	FedEx St. Jude Classic	Tennessee	Notah Begay III (3)	271 (–13)	540,000
Jul 2	Canon Greater Hartford Open	Connecticut	Notah Begay III (4)	260 (–20)	504,000
Jul 9	Advil Western Open	Illinois	Robert Allenby (2)	274 (–14)	540,000
Jul 16	Greater Milwaukee Open	Wisconsin	Loren Roberts (7)	260 (–24)	450,000
Jul 23	B.C. Open	New York	Brad Faxon (6)	270 (–18)	360,000
Jul 23	Open Championship (British Open)	Scotland	Tiger Woods (21)	269 (–19)	759,150
Jul 31	John Deere Classic	Illinois	Michael Clark II (1)	265 (–19)	468,000
Aug 6	The International	Colorado	Ernie Els (8)	48 ( Stableford )	630,000
Aug 13	Buick Open	Michigan	Rocco Mediate (4)	268 (–20)	486,000
Aug 20	PGA Championship	Kentucky	Tiger Woods (22)	270 (–18)	900,000
Aug 27	Reno-Tahoe Open	Nevada	Scott Verplank (3)	275 (–13)	540,000
Aug 27	WGC-NEC Invitational	Ohio	Tiger Woods (23)	259 (–21)	1,000,000
Sep 3	Air Canada Championship	Canada	Rory Sabbatini (1)	268 (–16)	540,000
Sep 10	Bell Canadian Open	Canada	Tiger Woods (24)	266 (–22)	594,000
Sep 17	SEI Pennsylvania Classic	Pennsylvania	Chris DiMarco (1)	270 (–14)	576,000
Sep 24	Westin Texas Open at LaCantera	Texas	Justin Leonard (5)	261 (–19)	468,000
Oct 1	Buick Challenge	Georgia	David Duval (12)	269 (–19)	414,000
Oct 8	Michelob Championship at Kingsmill	Virginia	David Toms (4)	271 (–13)	540,000
Oct 15	Invensys Classic at Las Vegas	Nevada	Billy Andrade (4)	332 (–28)	765,000
Oct 22	Tampa Bay Classic	Florida	John Huston (6)	271 (–13)	432,000
Oct 29	National Car Rental Golf Classic Disney	Florida	Duffy Waldorf (4)	262 (–26)	540,000
Nov 5	The Tour Championship	Georgia	Phil Mickelson (17)	267 (–13)	900,000
Nov 5	Southern Farm Bureau Classic	Mississippi	Steve Lowery (2)	266 (–22)	396,000
Nov 12	WGC-American Express Championship	Spain	Mike Weir (2)	277 (–11)	1,000,000
