Pick #	Player	Nationality	Position	Team from	League from
181	Kristians Pelss	Latvia	F	Dinamo Juniors Riga	Belarusian Extraleague
182	Josh Nicholls	Canada	RW	Saskatoon Blades	Western Hockey League
183	Ronald Boyd	United States	D	Cushing Academy	United States High School-MA
184	Martin Ouellette	Canada	G	Kimball Union Academy	United States High School-NH
185	Cody Rosen	Canada	G	Clarkson Golden Knights	ECAC Hockey
186	Teigan Zahn	Canada	D	Saskatoon Blades	Western Hockey League
187	Frederik Andersen	Denmark	G	Frederikshavn White Hawks	AL-Bank Ligaen (Denmark)
188	Lee Moffie	United States	D	Michigan Wolverines	Central Collegiate Hockey Association
189	Dylan McKinlay	Canada	RW	Chilliwack Bruins	Western Hockey League
190	Randy McNaught	Canada	F	Saskatoon Blades	Western Hockey League
191	Macmillan Carruth	United States	G	Portland Winterhawks	Western Hockey League
192	Brett Perlini	Canada	RW	Michigan State Spartans	Central Collegiate Hockey Association
193	Patrick Holland	Canada	RW	Tri-City Americans	Western Hockey League
194	David Elsner	Germany	F	Landshut Cannibals	2nd Bundesliga (Germany)
195	Maxim Chudinov	Russia	D	HC Severstal	Kontinental Hockey League (Russia)
196	Bryce Aneloski	United States	D	Cedar Rapids RoughRiders	United States Hockey League
197	Luke Moffatt	United States	C	US National U-18 Team	United States Hockey League
198	Joonas Rask	Finland	C	Ilves	SM-liiga (Finland)
199	Peter Stoykewych	Canada	D	Winnipeg South Blues	Manitoba Junior Hockey League
200	Chris Crane	United States	RW	Green Bay Gamblers	United States Hockey League
201	Benjamin Marshall	United States	D	Mahtomedi Senior High School	United States High School-MN
202	Kellen Jones	Canada	F	Vernon Vipers	British Columbia Hockey League
203	Christian Isackson	United States	RW	Saint Thomas Academy	United States High School-MN
204	Mauro Jorg	Switzerland	LW	HC Lugano	National League A (Switzerland)
205	Sawyer Hannay	Canada	D	Halifax Mooseheads	Quebec Major Junior Hockey League
206	Ricard Blidstrand	Sweden	D	AIK	J20 SuperElit (Sweden)
207	John Westin	Sweden	LW	Modo Hockey	J20 SuperElit (Sweden)
208	Riley Boychuk	Canada	LW	Portland Winterhawks	Western Hockey League
209	Brendan Ranford	Canada	LW	Kamloops Blazers	Western Hockey League
210	Zach Trotman	United States	D	Lake Superior Lakers	Central Collegiate Hockey Association
