Date	Course	Distance	Type	Winner
9 May	Lido (Venice)	km (mi)	Team time trial	Team Columbia-High Road
10 May	Jesolo to Trieste	km (mi)	Flat stage	Alessandro Petacchi ( ITA )
11 May	Grado to Valdobbiadene	km (mi)	Flat stage	Alessandro Petacchi ( ITA )
12 May	Padua to San Martino di Castrozza	km (mi)	Mountain stage	Stefano Garzelli ( ITA )
13 May	San Martino di Castrozza to Alpe di Siusi	km (mi)	Mountain stage	Denis Menchov ( RUS )
14 May	Brixen to Mayrhofen , Austria	km (mi)	Intermediate stage	Michele Scarponi ( ITA )
15 May	Innsbruck , Austria, to Chiavenna	km (mi)	Intermediate stage	Edvald Boasson Hagen ( NOR )
16 May	Morbegno to Bergamo	km (mi)	Intermediate stage	Kanstantsin Siutsou ( BLR )
17 May	Milan circuit race	km (mi)	Flat stage	Mark Cavendish ( GBR )
18 May	Rest day	Rest day	Rest day	Rest day
19 May	Cuneo to Pinerolo	km (mi)	Mountain stage	Danilo Di Luca ( ITA )
20 May	Turin to Arenzano	km (mi)	Flat stage	Mark Cavendish ( GBR )
21 May	Sestri Levante to Riomaggiore	km (mi)	Individual time trial	Denis Menchov ( RUS )
22 May	Lido di Camaiore to Florence	km (mi)	Flat stage	Mark Cavendish ( GBR )
23 May	Campi Bisenzio to Bologna	km (mi)	Mountain stage	Simon Gerrans ( AUS )
24 May	Forlì to Faenza	km (mi)	Intermediate stage	Leonardo Bertagnolli ( ITA )
25 May	Pergola to Monte Petrano	km (mi)	Mountain stage	Carlos Sastre ( ESP )
26 May	Rest day	Rest day	Rest day	Rest day
27 May	Chieti to Blockhaus	km (mi)	Mountain stage	Franco Pellizotti ( ITA )
28 May	Sulmona to Benevento	km (mi)	Flat stage	Michele Scarponi ( ITA )
29 May	Avellino to Mount Vesuvius	km (mi)	Mountain stage	Carlos Sastre ( ESP )
30 May	Naples to Anagni	km (mi)	Flat stage	Philippe Gilbert ( BEL )
31 May	Rome	km (mi)	Individual time trial	Ignatas Konovalovas ( LTU )
Total	Total	km (mi)	km (mi)	km (mi)
