Player	Date of Birth	Batting Style	Bowling Style	First Class Team
Arjuna Ranatunga (captain)	1 December 1963	Left hand bat	Right arm medium	Sinhalese SC
Aravinda de Silva (vice-captain)	17 October 1965	Right hand bat	Right arm off break	Nondescripts CC
Marvan Atapattu	22 November 1970	Right hand bat	Right arm leg break	Sinhalese SC
Upul Chandana	7 May 1972	Right hand bat	Right arm leg break	Nondescripts CC
Kumar Dharmasena	24 April 1971	Right hand bat	Right arm off break	Bloomfield
Avishka Gunawardene	26 May 1977	Left hand bat	–	Sinhalese SC
Sanath Jayasuriya	30 June 1969	Left hand bat	Left arm orthodox spin	Bloomfield
Romesh Kaluwitharana (wicket-keeper)	24 November 1969	Right hand bat	Wicket-keeper	Sebastianites
Roshan Mahanama	31 May 1966	Right hand bat	–	Colombo CC
Muttiah Muralitharan	17 April 1972	Right hand bat	Right arm off break	Tamil Union
Hashan Tillakaratne	14 July 1967	Left hand bat	Right arm off break	Nondescripts CC
Chaminda Vaas	27 January 1974	Left hand bat	Left arm fast-medium	Colts CC
Pramodya Wickramasinghe	14 August 1971	Right hand bat	Right arm fast-medium	Sinhalese SC
Nuwan Zoysa	13 May 1978	Left hand bat	Left arm fast-medium	Sinhalese SC
Source:	Source:	Source:	Source:	Source:
